,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,3166円,139分,103%,104件
1,750-799,3182円,135分,103.2%,215件
2,800-849,3761円,128分,103.9%,248件
3,850-899,4791円,122分,105.2%,257件
4,900-949,3878円,127分,104.1%,255件
5,950-999,3956円,121分,104.3%,274件
6,1000-1049,3770円,123分,104.1%,270件
7,1050-1099,4214円,124分,104.5%,268件
8,1100-1149,5056円,113分,105.9%,284件
9,1150-1199,4836円,116分,105.6%,273件
10,1200-1249,5325円,110分,106.4%,244件
11,1250-1299,4454円,113分,105.3%,300件
12,1300-1349,5369円,104分,106.9%,295件
13,1350-1399,5686円,105分,107.2%,342件
14,1400-1449,5549円,104分,107.1%,255件
15,1450-1499,5327円,99分,107.2%,284件
16,1500-1549,6491円,98分,108.9%,213件
17,1550-1599,6080円,94分,108.6%,229件
18,1600-1649,7019円,93分,110.1%,201件
19,1650-1699,5745円,86分,108.9%,191件
20,1700-1749,7569円,86分,111.8%,193件
21,1750-1799,7257円,83分,111.7%,168件
22,1800-1849,7013円,80分,111.7%,183件
23,1850-1899,8326円,75分,114.8%,196件
24,1900-1949,7282円,74分,113.1%,205件
25,1950-1999,7216円,74分,113%,188件
26,2000-2049,7611円,71分,114.4%,143件
27,2050-2099,7819円,66分,115.8%,158件
28,2100-2149,8889円,62分,119.1%,137件
29,2150-2199,9078円,60分,120.2%,151件
30,2200-2249,8100円,56分,119.4%,139件
31,2250-2299,8685円,50分,123.1%,138件
32,2300-2349,8918円,43分,127.6%,133件
33,2350-2399,8621円,40分,128.8%,143件
34,2400-2449,9526円,39分,132.9%,115件
35,2450-2499,10331円,36分,138.7%,124件
36,2500-2549,10470円,36分,139.1%,108件
37,2550-2599,9813円,35分,136.9%,105件
38,2600-2649,10566円,33分,142.6%,87件
39,2650-2699,11378円,33分,145.7%,99件
40,2700-2749,12211円,31分,152.9%,93件
41,2750-2799,11831円,31分,151%,89件
42,2800-2849,12477円,27分,162.4%,89件
43,2850-2899,12764円,26分,166.1%,92件
44,2900-2949,13665円,23分,177.9%,65件
