,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,2086円,132分,102.1%,23件
1,1000-1049,2280円,126分,102.4%,32件
2,1050-1099,1769円,121分,102%,41件
3,1100-1149,3006円,127分,103.2%,33件
4,1150-1199,2982円,122分,103.3%,66件
5,1200-1249,4076円,109分,105%,59件
6,1250-1299,3712円,109分,104.5%,65件
7,1300-1349,2589円,108分,103.2%,67件
8,1350-1399,3874円,103分,105%,83件
9,1400-1449,4917円,101分,106.5%,75件
10,1450-1499,3746円,103分,104.8%,73件
11,1500-1549,3581円,95分,105%,83件
12,1550-1599,3748円,94分,105.3%,78件
13,1600-1649,4225円,95分,105.9%,86件
14,1650-1699,4929円,88分,107.4%,73件
15,1700-1749,3594円,85分,105.7%,90件
16,1750-1799,4372円,85分,106.8%,81件
17,1800-1849,5472円,78分,109.3%,84件
18,1850-1899,5265円,75分,109.3%,96件
19,1900-1949,5947円,75分,110.5%,97件
20,1950-1999,3734円,71分,107%,79件
21,2000-2049,6250円,68分,112.3%,106件
22,2050-2099,6283円,66分,112.8%,112件
23,2100-2149,4658円,61分,110.2%,87件
24,2150-2199,6138円,58分,114.2%,90件
25,2200-2249,5432円,57分,112.7%,80件
26,2250-2299,4993円,52分,112.7%,85件
27,2300-2349,6684円,50分,117.7%,65件
28,2350-2399,5861円,45分,117.3%,71件
29,2400-2449,4407円,49分,112%,63件
30,2450-2499,6908円,41分,122.5%,61件
31,2500-2549,8939円,34分,134.8%,43件
32,2550-2599,8141円,38分,128.5%,49件
33,2600-2649,7608円,37分,127.1%,41件
34,2650-2699,8417円,35分,131.8%,49件
35,2700-2749,9239円,34分,136.3%,61件
36,2750-2799,10626円,30分,146.9%,42件
37,2800-2849,11029円,27分,153.7%,33件
38,2850-2899,12493円,26分,164.3%,48件
39,2900-2949,13346円,23分,177.3%,44件
