,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,2061円,147分,101.9%,20件
1,600-649,337円,140分,100.3%,32件
2,650-699,1154円,123分,101.3%,45件
3,700-749,120円,146分,100.1%,67件
4,750-799,2907円,133分,102.9%,73件
5,800-849,616円,137分,100.6%,68件
6,850-899,2334円,129分,102.4%,87件
7,900-949,1048円,131分,101.1%,102件
8,950-999,979円,128分,101%,98件
9,1000-1049,772円,128分,100.8%,127件
10,1050-1099,1845円,129分,101.9%,134件
11,1100-1149,2226円,122分,102.4%,163件
12,1150-1199,3161円,109分,103.9%,163件
13,1200-1249,2356円,117分,102.7%,162件
14,1250-1299,2874円,109分,103.5%,164件
15,1300-1349,2564円,109分,103.1%,180件
16,1350-1399,1755円,109分,102.1%,198件
17,1400-1449,2130円,107分,102.7%,174件
18,1450-1499,2857円,102分,103.7%,204件
19,1500-1549,2525円,100分,103.4%,190件
20,1550-1599,3450円,99分,104.7%,204件
21,1600-1649,3428円,97分,104.7%,194件
22,1650-1699,4063円,92分,105.9%,176件
23,1700-1749,2877円,88分,104.3%,195件
24,1750-1799,3944円,83分,106.3%,212件
25,1800-1849,3560円,82分,105.8%,189件
26,1850-1899,5244円,80分,108.8%,192件
27,1900-1949,4963円,75分,108.8%,152件
28,1950-1999,3752円,74分,106.8%,160件
29,2000-2049,5421円,70分,110.3%,169件
30,2050-2099,5526円,68分,110.8%,148件
31,2100-2149,5889円,63分,112.4%,171件
32,2150-2199,5584円,59分,112.5%,140件
33,2200-2249,6347円,54分,115.6%,133件
34,2250-2299,5587円,54分,113.9%,138件
35,2300-2349,6344円,49分,117.4%,138件
36,2350-2399,5993円,47分,117%,99件
37,2400-2449,6237円,46分,118.1%,118件
38,2450-2499,6848円,43分,121.2%,114件
39,2500-2549,6175円,43分,119.2%,93件
40,2550-2599,8074円,39分,127.8%,94件
41,2600-2649,8645円,37分,131.4%,88件
42,2650-2699,9288円,34分,136.7%,91件
43,2700-2749,9217円,36分,134.1%,102件
44,2750-2799,10126円,31分,143.3%,96件
45,2800-2849,11412円,30分,151.4%,77件
46,2850-2899,12293円,25分,164.4%,80件
47,2900-2949,13284円,23分,175.8%,55件
