,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-2329円,156分,98%,2701件
1,300-349,-2317円,155分,98%,3527件
2,350-399,-2252円,154分,98.1%,3180件
3,400-449,-1610円,150分,98.6%,2982件
4,450-499,-1736円,150分,98.5%,2564件
5,500-549,-1736円,148分,98.4%,2340件
6,550-599,-1498円,146分,98.6%,2199件
7,600-649,-1021円,142分,99%,2101件
8,650-699,-1317円,143分,98.8%,1842件
9,700-749,-991円,140分,99.1%,1804件
10,750-799,-433円,137分,99.6%,1665件
11,800-849,-40円,134分,100%,1609件
12,850-899,-310円,131分,99.7%,2851件
13,900-949,-162円,131分,99.8%,1650件
14,950-999,-185円,128分,99.8%,1700件
15,1000-1049,252円,126分,100.3%,1464件
16,1050-1099,504円,123分,100.5%,1312件
17,1100-1149,586円,121分,100.6%,1278件
18,1150-1199,396円,120分,100.4%,1249件
19,1200-1249,215円,117分,100.2%,1139件
20,1250-1299,1145円,113分,101.3%,1174件
21,1300-1349,1913円,111分,102.3%,1067件
22,1350-1399,1422円,109分,101.7%,1093件
23,1400-1449,1580円,106分,102%,1084件
24,1450-1499,1604円,102分,102.1%,1050件
25,1500-1549,1917円,100分,102.6%,1091件
26,1550-1599,2527円,97分,103.5%,994件
27,1600-1649,2909円,94分,104.1%,1021件
28,1650-1699,2766円,93分,104%,882件
29,1700-1749,2924円,89分,104.4%,919件
30,1750-1799,3267円,88分,105%,868件
31,1800-1849,2776円,84分,104.4%,836件
32,1850-1899,3422円,80分,105.7%,826件
33,1900-1949,3880円,76分,106.8%,834件
34,1950-1999,4109円,72分,107.6%,802件
35,2000-2049,4057円,70分,107.8%,777件
36,2050-2099,3974円,65分,108.1%,805件
37,2100-2149,4313円,63分,109.1%,740件
38,2150-2199,4782円,61分,110.5%,759件
39,2200-2249,5059円,57分,111.9%,763件
40,2250-2299,4891円,54分,112.2%,648件
41,2300-2349,4910円,50分,113.1%,680件
42,2350-2399,5574円,48分,115.5%,661件
43,2400-2449,6091円,45分,117.9%,658件
44,2450-2499,6520円,44分,119.6%,608件
45,2500-2549,6396円,43分,119.9%,625件
46,2550-2599,7562円,40分,125.1%,572件
47,2600-2649,8108円,39分,127.8%,559件
48,2650-2699,8417円,37分,130.6%,525件
49,2700-2749,8998円,35分,134.1%,476件
50,2750-2799,10047円,31分,142.5%,386件
51,2800-2849,10961円,28分,151.6%,346件
52,2850-2899,11563円,25分,161.2%,273件
53,2900-2949,12874円,23分,176.2%,185件
