,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2975円,162分,97.6%,4808件
1,150-199,-3041円,162分,97.5%,6040件
2,200-249,-3131円,161分,97.4%,5312件
3,250-299,-2666円,157分,97.7%,5009件
4,300-349,-2396円,156分,97.9%,4375件
5,350-399,-2360円,154分,98%,3988件
6,400-449,-2252円,152分,98%,3750件
7,450-499,-1950円,149分,98.3%,3599件
8,500-549,-1987円,148分,98.2%,3186件
9,550-599,-1667円,146分,98.5%,3101件
10,600-649,-1169円,143分,98.9%,2912件
11,650-699,-1015円,142分,99%,2750件
12,700-749,-1065円,138分,99%,4989件
13,750-799,-1035円,138分,99%,2869件
14,800-849,-1088円,136分,98.9%,2916件
15,850-899,-697円,133分,99.3%,2436件
16,900-949,-502円,131分,99.5%,2233件
17,950-999,-413円,128分,99.6%,2151件
18,1000-1049,-615円,127分,99.4%,2086件
19,1050-1099,-236円,123分,99.7%,2003件
20,1100-1149,349円,120分,100.4%,2061件
21,1150-1199,974円,119分,101.1%,1888件
22,1200-1249,530円,116分,100.6%,1911件
23,1250-1299,1223円,112分,101.5%,1900件
24,1300-1349,481円,112分,100.6%,1791件
25,1350-1399,823円,109分,101%,1836件
26,1400-1449,1553円,105分,102%,1730件
27,1450-1499,1760円,103分,102.3%,1749件
28,1500-1549,1836円,100分,102.4%,1625件
29,1550-1599,2054円,97分,102.8%,1633件
30,1600-1649,2402円,95分,103.4%,1540件
31,1650-1699,2018円,92分,102.9%,1511件
32,1700-1749,2499円,89分,103.7%,1446件
33,1750-1799,2921円,86分,104.5%,1456件
34,1800-1849,2593円,83分,104.2%,1403件
35,1850-1899,2819円,80分,104.7%,1368件
36,1900-1949,2915円,76分,105.1%,1373件
37,1950-1999,3671円,73分,106.7%,1330件
38,2000-2049,3576円,70分,106.8%,1312件
39,2050-2099,3961円,68分,107.8%,1268件
40,2100-2149,4005円,65分,108.2%,1169件
41,2150-2199,3764円,61分,108.2%,1164件
42,2200-2249,4635円,58分,110.6%,1147件
43,2250-2299,4818円,54分,111.9%,1147件
44,2300-2349,4995円,51分,113.1%,1061件
45,2350-2399,5102円,48分,114.2%,1096件
46,2400-2449,5704円,46分,116.5%,1015件
47,2450-2499,6213円,45分,118.6%,1015件
48,2500-2549,6622円,43分,120.5%,954件
49,2550-2599,7301円,41分,123.5%,853件
50,2600-2649,7878円,38分,127.4%,708件
51,2650-2699,8408円,37分,130.4%,631件
52,2700-2749,8989円,34分,135.3%,473件
53,2750-2799,9967円,32分,141.8%,370件
54,2800-2849,10732円,28分,150.5%,317件
55,2850-2899,12165円,25分,163.9%,264件
56,2900-2949,12506円,23分,171.7%,192件
