,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2711円,162分,97.8%,46521件
1,150-199,-2642円,161分,97.8%,13917件
2,200-249,-2241円,160分,98.1%,7392件
3,250-299,-2030円,156分,98.3%,5074件
4,300-349,-1843円,152分,98.4%,4115件
5,350-399,-1681円,153分,98.5%,3562件
6,400-449,-1345円,152分,98.8%,3473件
7,450-499,-1140円,147分,99%,3353件
8,500-549,-1255円,147分,98.9%,3280件
9,550-599,-843円,143分,99.2%,3182件
10,600-649,-863円,142分,99.2%,3171件
11,650-699,-852円,140分,99.2%,3154件
12,700-749,-618円,139分,99.4%,3157件
13,750-799,-263円,136分,99.7%,3006件
14,800-849,-406円,133分,99.6%,3267件
15,850-899,-67円,132分,99.9%,3358件
16,900-949,126円,129分,100.1%,3220件
17,950-999,513円,126分,100.5%,3133件
18,1000-1049,490円,125分,100.5%,2999件
19,1050-1099,384円,124分,100.4%,2978件
20,1100-1149,726円,120分,100.8%,2780件
21,1150-1199,1003円,116分,101.2%,2722件
22,1200-1249,1122円,116分,101.3%,2612件
23,1250-1299,1447円,113分,101.7%,2542件
24,1300-1349,1505円,110分,101.8%,2508件
25,1350-1399,1285円,108分,101.6%,2507件
26,1400-1449,1908円,103分,102.5%,2425件
27,1450-1499,1893円,103分,102.5%,2301件
28,1500-1549,2234円,100分,103%,2342件
29,1550-1599,2396円,97分,103.3%,2209件
30,1600-1649,2546円,94分,103.6%,2222件
31,1650-1699,2653円,92分,103.8%,2219件
32,1700-1749,2787円,89分,104.2%,2115件
33,1750-1799,3089円,86分,104.8%,1986件
34,1800-1849,2956円,83分,104.8%,2068件
35,1850-1899,3327円,79分,105.6%,2019件
36,1900-1949,3081円,76分,105.4%,1810件
37,1950-1999,3927円,73分,107.2%,1886件
38,2000-2049,4133円,70分,107.9%,1791件
39,2050-2099,4103円,67分,108.2%,1776件
40,2100-2149,4189円,64分,108.8%,1744件
41,2150-2199,4433円,61分,109.7%,1721件
42,2200-2249,4695円,57分,111%,1634件
43,2250-2299,4959円,54分,112.3%,1564件
44,2300-2349,5551円,49分,115%,1568件
45,2350-2399,5385円,48分,115%,1524件
46,2400-2449,5906円,45分,117.5%,1490件
47,2450-2499,6323円,43分,119.5%,1488件
48,2500-2549,6658円,42分,121%,1410件
49,2550-2599,6668円,42分,121.3%,1177件
