,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,639円,143分,100.6%,10644件
1,550-599,987円,142分,100.9%,3412件
2,600-649,1427円,140分,101.4%,1796件
3,650-699,1459円,138分,101.4%,1224件
4,700-749,1492円,135分,101.5%,1020件
5,750-799,1717円,134分,101.7%,858件
6,800-849,2002円,132分,102%,810件
7,850-899,2347円,127分,102.5%,796件
8,900-949,2070円,127分,102.2%,803件
9,950-999,2438円,125分,102.6%,731件
10,1000-1049,2403円,122分,102.6%,719件
11,1050-1099,2707円,122分,103%,770件
12,1100-1149,3204円,121分,103.5%,743件
13,1150-1199,2698円,116分,103.1%,683件
14,1200-1249,2983円,112分,103.6%,798件
15,1250-1299,3252円,110分,103.9%,742件
16,1300-1349,3736円,108分,104.6%,727件
17,1350-1399,4776円,105分,106.1%,738件
18,1400-1449,4958円,104分,106.4%,709件
19,1450-1499,4227円,103分,105.5%,716件
20,1500-1549,4550円,97分,106.3%,677件
21,1550-1599,4008円,94分,105.7%,596件
22,1600-1649,5224円,93分,107.5%,587件
23,1650-1699,4513円,89分,106.8%,602件
24,1700-1749,5145円,87分,107.9%,576件
25,1750-1799,5092円,84分,108.1%,606件
26,1800-1849,5691円,81分,109.4%,532件
27,1850-1899,6272円,78分,110.8%,508件
28,1900-1949,6275円,76分,111%,536件
29,1950-1999,6501円,74分,111.8%,509件
30,2000-2049,6373円,70分,112.2%,482件
31,2050-2099,6948円,68分,113.6%,516件
32,2100-2149,7044円,64分,114.7%,506件
33,2150-2199,7445円,60分,116.4%,437件
34,2200-2249,7301円,54分,118.1%,442件
35,2250-2299,7174円,48分,119.9%,435件
36,2300-2349,7715円,43分,124%,428件
37,2350-2399,8163円,41分,126.3%,402件
38,2400-2449,7941円,41分,126.1%,404件
39,2450-2499,8052円,39分,127.5%,406件
40,2500-2549,8704円,37分,131%,419件
41,2550-2599,9280円,36分,134.7%,372件
42,2600-2649,9446円,35分,136.1%,374件
43,2650-2699,9831円,34分,138.7%,366件
44,2700-2749,10156円,32分,141.7%,334件
45,2750-2799,11279円,30分,150.9%,363件
46,2800-2849,11393円,27分,155.4%,331件
47,2850-2899,11754円,24分,164.1%,307件
48,2900-2949,12696円,22分,176.6%,285件
