,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,333円,143分,100.3%,30件
1,950-999,4467円,117分,105.1%,28件
2,1000-1049,978円,127分,101%,35件
3,1050-1099,1304円,131分,101.3%,29件
4,1100-1149,3744円,123分,104.1%,47件
5,1150-1199,2382円,115分,102.8%,46件
6,1200-1249,3506円,114分,104.1%,63件
7,1250-1299,3103円,112分,103.7%,60件
8,1300-1349,3142円,113分,103.7%,73件
9,1350-1399,3404円,108分,104.2%,65件
10,1400-1449,3579円,103分,104.6%,70件
11,1450-1499,2990円,99分,104%,64件
12,1500-1549,3720円,95分,105.2%,74件
13,1550-1599,2535円,98分,103.5%,86件
14,1600-1649,3828円,92分,105.6%,88件
15,1650-1699,4312円,91分,106.3%,107件
16,1700-1749,4241円,88分,106.4%,90件
17,1750-1799,4941円,88分,107.5%,94件
18,1800-1849,5428円,84分,108.6%,88件
19,1850-1899,4852円,80分,108.1%,75件
20,1900-1949,5045円,74分,109.1%,104件
21,1950-1999,4824円,73分,108.8%,95件
22,2000-2049,4531円,69分,108.8%,85件
23,2050-2099,6373円,63分,113.5%,80件
24,2100-2149,4589円,63分,109.8%,63件
25,2150-2199,4613円,61分,110%,75件
26,2200-2249,5154円,57分,112%,54件
27,2250-2299,4787円,55分,111.5%,54件
28,2300-2349,5804円,48分,116.3%,60件
29,2350-2399,7187円,44分,121.8%,62件
30,2400-2449,6310円,45分,118.7%,47件
31,2450-2499,5451円,46分,115.8%,49件
32,2500-2549,7673円,41分,124.7%,59件
33,2550-2599,7526円,40分,124.9%,47件
34,2600-2649,7978円,39分,127.2%,57件
35,2650-2699,8066円,40分,127.2%,54件
36,2700-2749,9326円,35分,135.9%,42件
37,2750-2799,10607円,32分,144.5%,39件
38,2800-2849,10613円,28分,150%,37件
39,2850-2899,11850円,24分,166.2%,36件
40,2900-2949,12921円,23分,173.9%,47件
