,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,4524円,124分,104.9%,1241件
1,1150-1199,4611円,124分,105%,1110件
2,1200-1249,4340円,118分,104.9%,1065件
3,1250-1299,4939円,117分,105.6%,1073件
4,1300-1349,5090円,114分,106%,992件
5,1350-1399,4824円,112分,105.7%,938件
6,1400-1449,5429円,108分,106.7%,990件
7,1450-1499,5929円,104分,107.6%,995件
8,1500-1549,5309円,102分,106.9%,900件
9,1550-1599,6025円,101分,108%,760件
10,1600-1649,5660円,98分,107.7%,778件
11,1650-1699,5973円,95分,108.4%,786件
12,1700-1749,5419円,91分,107.9%,739件
13,1750-1799,5909円,88分,108.9%,768件
14,1800-1849,6147円,85分,109.7%,700件
15,1850-1899,6582円,81分,110.8%,680件
16,1900-1949,6184円,76分,110.8%,677件
17,1950-1999,6267円,75分,111.1%,619件
18,2000-2049,6323円,71分,111.9%,634件
19,2050-2099,6118円,70分,111.6%,594件
20,2100-2149,6797円,66分,113.8%,586件
21,2150-2199,7337円,61分,116%,573件
22,2200-2249,7017円,60分,115.7%,578件
23,2250-2299,6915円,55分,116.7%,501件
24,2300-2349,7390円,52分,118.8%,514件
25,2350-2399,6987円,49分,118.8%,463件
26,2400-2449,7521円,47分,121.4%,474件
27,2450-2499,7954円,45分,123.5%,460件
28,2500-2549,8361円,44分,125.3%,437件
29,2550-2599,9016円,42分,128.5%,469件
30,2600-2649,9930円,39分,133.9%,437件
31,2650-2699,10146円,37分,136.5%,471件
32,2700-2749,11100円,35分,141.8%,400件
33,2750-2799,11570円,33分,146.3%,381件
34,2800-2849,12592円,30分,155.9%,355件
35,2850-2899,13359円,27分,166.1%,327件
36,2900-2949,14504円,24分,180.5%,252件
