,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1400-1449,6585円,107分,108.2%,1061件
1,1450-1499,7023円,106分,108.9%,998件
2,1500-1549,6332円,103分,108.2%,1018件
3,1550-1599,7075円,100分,109.4%,1023件
4,1600-1649,6773円,97分,109.3%,1003件
5,1650-1699,7045円,93分,110.1%,943件
6,1700-1749,7141円,91分,110.4%,864件
7,1750-1799,7423円,90分,111%,913件
8,1800-1849,7697円,85分,112.1%,863件
9,1850-1899,7345円,82分,111.9%,847件
10,1900-1949,7850円,80分,113.1%,867件
11,1950-1999,7789円,78分,113.4%,846件
12,2000-2049,8336円,74分,115.1%,772件
13,2050-2099,8130円,69分,115.8%,802件
14,2100-2149,7751円,64分,116.1%,787件
15,2150-2199,7592円,59分,117.2%,723件
16,2200-2249,8192円,56分,119.5%,719件
17,2250-2299,8241円,53分,120.8%,712件
18,2300-2349,8028円,49分,121.7%,678件
19,2350-2399,8129円,47分,123%,694件
20,2400-2449,8725円,44分,126.2%,652件
21,2450-2499,8858円,43分,127.4%,636件
22,2500-2549,8994円,43分,128%,613件
23,2550-2599,9641円,42分,130.9%,567件
24,2600-2649,10361円,39分,135.8%,609件
25,2650-2699,10497円,37分,137.3%,555件
26,2700-2749,10959円,35分,142.1%,575件
27,2750-2799,11801円,33分,147.7%,522件
28,2800-2849,11485円,33分,145.7%,461件
