,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,827円,127分,100.9%,21件
1,850-899,1655円,145分,101.5%,37件
2,900-949,4567円,124分,104.9%,30件
3,950-999,1565円,128分,101.6%,40件
4,1000-1049,2733円,132分,102.8%,35件
5,1050-1099,4100円,127分,104.3%,56件
6,1100-1149,3079円,120分,103.4%,58件
7,1150-1199,3237円,118分,103.7%,69件
8,1200-1249,4043円,118分,104.6%,78件
9,1250-1299,3699円,116分,104.2%,87件
10,1300-1349,3310円,109分,104%,74件
11,1350-1399,4235円,109分,105.2%,86件
12,1400-1449,3875円,105分,104.9%,80件
13,1450-1499,3827円,100分,105.1%,89件
14,1500-1549,2920円,101分,103.9%,101件
15,1550-1599,4056円,97分,105.6%,99件
16,1600-1649,4676円,92分,106.8%,126件
17,1650-1699,4810円,92分,107%,107件
18,1700-1749,5430円,92分,107.9%,116件
19,1750-1799,5819円,89分,108.7%,103件
20,1800-1849,4998円,83分,108%,90件
21,1850-1899,5364円,79分,109.1%,126件
22,1900-1949,4975円,75分,108.8%,115件
23,1950-1999,4404円,75分,107.9%,103件
24,2000-2049,7059円,69分,113.7%,107件
25,2050-2099,4870円,67分,109.8%,75件
26,2100-2149,4681円,65分,109.6%,87件
27,2150-2199,5593円,63分,111.8%,68件
28,2200-2249,5662円,59分,112.9%,70件
29,2250-2299,5776円,52分,114.7%,73件
30,2300-2349,7423円,48分,120.7%,76件
31,2350-2399,7124円,45分,121.2%,61件
32,2400-2449,6047円,46分,117.4%,63件
33,2450-2499,7431円,44分,122.5%,67件
34,2500-2549,7318円,42分,123%,56件
35,2550-2599,7822円,42分,125.1%,68件
36,2600-2649,7799円,42分,124.5%,62件
37,2650-2699,8969円,37分,132.6%,53件
38,2700-2749,10184円,34分,139.4%,47件
39,2750-2799,10223円,31分,144%,44件
40,2800-2849,11807円,28分,157%,46件
41,2850-2899,12591円,27分,161.4%,59件
42,2900-2949,13356円,23分,177%,52件
