,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,837円,141分,100.8%,77件
1,750-799,1840円,134分,101.8%,87件
2,800-849,2010円,124分,102.2%,101件
3,850-899,692円,128分,100.7%,147件
4,900-949,1869円,129分,101.9%,144件
5,950-999,1548円,125分,101.7%,160件
6,1000-1049,1410円,124分,101.5%,179件
7,1050-1099,1049円,125分,101.1%,190件
8,1100-1149,2586円,123分,102.8%,193件
9,1150-1199,3555円,116分,104.1%,213件
10,1200-1249,1872円,117分,102.1%,210件
11,1250-1299,1289円,114分,101.5%,252件
12,1300-1349,3503円,109分,104.3%,247件
13,1350-1399,3068円,113分,103.6%,238件
14,1400-1449,3514円,103分,104.5%,231件
15,1450-1499,4208円,98分,105.7%,238件
16,1500-1549,3838円,99分,105.2%,229件
17,1550-1599,4091円,98分,105.6%,234件
18,1600-1649,4423円,93分,106.4%,208件
19,1650-1699,3247円,90分,104.8%,186件
20,1700-1749,4008円,90分,105.9%,197件
21,1750-1799,4384円,82分,107.1%,183件
22,1800-1849,4743円,82分,107.7%,176件
23,1850-1899,4757円,79分,108%,189件
24,1900-1949,5456円,76分,109.5%,186件
25,1950-1999,5534円,71分,110.4%,150件
26,2000-2049,6143円,73分,111.3%,159件
27,2050-2099,5484円,66分,111.1%,144件
28,2100-2149,7507円,61分,116.3%,134件
29,2150-2199,5238円,60分,111.6%,122件
30,2200-2249,6679円,54分,116.6%,101件
31,2250-2299,5344円,51分,114%,122件
32,2300-2349,7394円,45分,121.9%,139件
33,2350-2399,7692円,40分,125.5%,110件
34,2400-2449,7618円,42分,124%,103件
35,2450-2499,7178円,44分,121.7%,91件
36,2500-2549,8883円,39分,130.7%,104件
37,2550-2599,8159円,40分,127.2%,98件
38,2600-2649,8904円,37分,131.8%,88件
39,2650-2699,9077円,36分,133.2%,85件
40,2700-2749,9579円,34分,137.1%,83件
41,2750-2799,9830円,31分,142.9%,79件
42,2800-2849,11589円,29分,153.5%,106件
43,2850-2899,12256円,25分,166.4%,84件
44,2900-2949,12366円,22分,174.2%,62件
