,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,3981円,136分,103.9%,85件
1,800-849,4008円,131分,104.1%,174件
2,850-899,5162円,125分,105.5%,212件
3,900-949,5892円,117分,106.7%,215件
4,950-999,5280円,122分,105.7%,217件
5,1000-1049,5360円,117分,106.1%,225件
6,1050-1099,4781円,120分,105.3%,237件
7,1100-1149,5841円,122分,106.4%,232件
8,1150-1199,6056円,111分,107.3%,227件
9,1200-1249,6356円,112分,107.6%,229件
10,1250-1299,6492円,107分,108.1%,209件
11,1300-1349,6072円,109分,107.4%,242件
12,1350-1399,6624円,101分,108.8%,247件
13,1400-1449,7063円,104分,109.1%,289件
14,1450-1499,6815円,102分,108.9%,220件
15,1500-1549,6309円,95分,108.9%,239件
16,1550-1599,7658円,95分,110.7%,176件
17,1600-1649,7690円,90分,111.4%,192件
18,1650-1699,8494円,89分,112.7%,158件
19,1700-1749,7205円,83分,111.5%,156件
20,1750-1799,8653円,84分,113.8%,165件
21,1800-1849,8431円,81分,113.8%,134件
22,1850-1899,7924円,78分,113.6%,147件
23,1900-1949,9738円,71分,118.2%,162件
24,1950-1999,8523円,71分,115.9%,170件
25,2000-2049,8631円,69分,116.7%,152件
26,2050-2099,9872円,66分,119.9%,124件
27,2100-2149,9033円,62分,119.4%,132件
28,2150-2199,10424円,59分,123.5%,115件
29,2200-2249,10258円,57分,124.2%,130件
30,2250-2299,9707円,51分,125.2%,115件
31,2300-2349,10093円,45分,129.7%,118件
32,2350-2399,10158円,38分,135.4%,118件
33,2400-2449,9879円,36分,136.4%,119件
34,2450-2499,10614円,35分,140.5%,89件
35,2500-2549,11710円,33分,147.7%,97件
36,2550-2599,11837円,32分,149.4%,90件
37,2600-2649,10856円,33分,144%,85件
38,2650-2699,12018円,30分,153.6%,74件
39,2700-2749,13291円,29分,161.6%,87件
40,2750-2799,13342円,28分,163%,78件
41,2800-2849,13210円,27分,164.3%,80件
42,2850-2899,13814円,23分,181.1%,70件
43,2900-2949,14018円,22分,184.3%,75件
