,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,1834円,144分,101.7%,2750件
1,700-749,1731円,141分,101.6%,4989件
2,750-799,1729円,141分,101.6%,2869件
3,800-849,1609円,138分,101.6%,2916件
4,850-899,1965円,136分,101.9%,2436件
5,900-949,2119円,133分,102.1%,2233件
6,950-999,2160円,130分,102.2%,2151件
7,1000-1049,1912円,129分,102%,2086件
8,1050-1099,2232円,125分,102.4%,2003件
9,1100-1149,2782円,122分,103%,2061件
10,1150-1199,3430円,121分,103.8%,1888件
11,1200-1249,2899円,118分,103.3%,1911件
12,1250-1299,3534円,114分,104.1%,1900件
13,1300-1349,2746円,114分,103.2%,1791件
14,1350-1399,3040円,111分,103.6%,1836件
15,1400-1449,3741円,107分,104.6%,1730件
16,1450-1499,3913円,105分,105%,1749件
17,1500-1549,3924円,102分,105.1%,1625件
18,1550-1599,4072円,98分,105.5%,1633件
19,1600-1649,4412円,97分,106%,1540件
20,1650-1699,3938円,94分,105.6%,1511件
21,1700-1749,4375円,91分,106.4%,1446件
22,1750-1799,4743円,87分,107.2%,1456件
23,1800-1849,4310円,84分,106.8%,1403件
24,1850-1899,4484円,81分,107.4%,1368件
25,1900-1949,4501円,77分,107.8%,1373件
26,1950-1999,5239円,75分,109.3%,1330件
27,2000-2049,5075円,72分,109.4%,1312件
28,2050-2099,5422円,69分,110.5%,1268件
29,2100-2149,5408円,66分,110.9%,1169件
30,2150-2199,5067円,62分,110.9%,1164件
31,2200-2249,5911円,59分,113.3%,1147件
32,2250-2299,6008円,55分,114.6%,1147件
33,2300-2349,6121円,52分,115.7%,1061件
34,2350-2399,6191円,49分,116.9%,1096件
35,2400-2449,6783円,47分,119.2%,1015件
36,2450-2499,7291円,46分,121.4%,1015件
37,2500-2549,7675円,44分,123.3%,954件
38,2550-2599,8353円,42分,126.2%,853件
39,2600-2649,8931円,39分,130.4%,708件
40,2650-2699,9460円,38分,133.4%,631件
41,2700-2749,10042円,35分,138.4%,473件
42,2750-2799,11020円,33分,144.9%,370件
43,2800-2849,11785円,29分,153.7%,317件
44,2850-2899,13217円,26分,166.9%,264件
45,2900-2949,13558円,24分,174.7%,192件
