,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1450-1499,8499円,107分,110.6%,86件
1,1500-1549,7213円,103分,109.4%,95件
2,1550-1599,6830円,103分,108.8%,109件
3,1600-1649,7612円,96分,110.6%,95件
4,1650-1699,7644円,94分,110.8%,85件
5,1700-1749,7616円,96分,110.5%,100件
6,1750-1799,9116円,85分,114.3%,93件
7,1800-1849,8204円,88分,112.5%,99件
8,1850-1899,9755円,79分,116.4%,105件
9,1900-1949,6719円,79分,111.3%,88件
10,1950-1999,9644円,71分,118.2%,84件
11,2000-2049,10061円,75分,117.9%,99件
12,2050-2099,8752円,66分,117.6%,72件
13,2100-2149,7588円,66分,115.3%,77件
14,2150-2199,8005円,59分,118%,68件
15,2200-2249,10436円,53分,126.4%,84件
16,2250-2299,8125円,51分,121.1%,48件
17,2300-2349,9760円,46分,128%,61件
18,2350-2399,9681円,42分,130.4%,51件
19,2400-2449,9483円,44分,128.9%,50件
20,2450-2499,9478円,41分,131%,57件
21,2500-2549,10470円,40分,134.6%,60件
22,2550-2599,10139円,41分,133%,61件
23,2600-2649,10164円,41分,132.7%,46件
24,2650-2699,10412円,39分,135.9%,49件
25,2700-2749,11306円,35分,142.8%,52件
26,2750-2799,11767円,33分,148.1%,47件
27,2800-2849,12386円,30分,156%,33件
28,2850-2899,13157円,25分,169.3%,50件
29,2900-2949,14841円,26分,177.5%,38件
