,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,-1788円,154分,98.5%,45件
1,550-599,-812円,146分,99.3%,74件
2,600-649,208円,143分,100.2%,101件
3,650-699,-727円,139分,99.3%,132件
4,700-749,361円,137分,100.4%,129件
5,750-799,428円,134分,100.4%,140件
6,800-849,271円,135分,100.3%,161件
7,850-899,-356円,135分,99.6%,196件
8,900-949,334円,131分,100.3%,189件
9,950-999,743円,129分,100.8%,193件
10,1000-1049,1891円,123分,102%,260件
11,1050-1099,1421円,122分,101.6%,229件
12,1100-1149,1614円,121分,101.8%,283件
13,1150-1199,1650円,121分,101.8%,267件
14,1200-1249,1842円,115分,102.1%,305件
15,1250-1299,988円,114分,101.2%,323件
16,1300-1349,1786円,113分,102.1%,312件
17,1350-1399,2218円,108分,102.7%,265件
18,1400-1449,1618円,110分,102%,278件
19,1450-1499,2423円,102分,103.2%,293件
20,1500-1549,1978円,102分,102.6%,286件
21,1550-1599,3257円,96分,104.5%,285件
22,1600-1649,2412円,93分,103.5%,275件
23,1650-1699,4179円,90分,106.2%,276件
24,1700-1749,4364円,89分,106.5%,296件
25,1750-1799,3745円,85分,105.9%,246件
26,1800-1849,3843円,83分,106.2%,252件
27,1850-1899,4263円,78分,107.3%,230件
28,1900-1949,4417円,74分,108%,230件
29,1950-1999,5445円,72分,110.1%,208件
30,2000-2049,5081円,70分,109.7%,201件
31,2050-2099,5215円,64分,110.9%,187件
32,2100-2149,5404円,63分,111.4%,185件
33,2150-2199,5906円,59分,113.4%,185件
34,2200-2249,4924円,58分,111.3%,175件
35,2250-2299,3455円,58分,107.9%,160件
36,2300-2349,5790円,49分,115.8%,155件
37,2350-2399,5712円,47分,116.1%,152件
38,2400-2449,6167円,45分,118.4%,152件
39,2450-2499,6558円,44分,119.8%,153件
40,2500-2549,6758円,42分,121.4%,127件
41,2550-2599,6994円,40分,123.4%,147件
42,2600-2649,7457円,40分,124.8%,121件
43,2650-2699,8792円,35分,133.3%,127件
44,2700-2749,9604円,34分,137.9%,100件
45,2750-2799,10106円,32分,142.6%,119件
46,2800-2849,10664円,31分,146%,104件
47,2850-2899,12092円,26分,163.1%,100件
48,2900-2949,13522円,22分,181.4%,91件
