,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,7782円,131分,107.9%,28件
1,1000-1049,5390円,119分,106.1%,34件
2,1050-1099,7463円,127分,107.9%,38件
3,1100-1149,6573円,112分,107.8%,48件
4,1150-1199,9056円,114分,110.6%,39件
5,1200-1249,7431円,118分,108.4%,53件
6,1250-1299,5197円,108分,106.4%,50件
7,1300-1349,7124円,107分,108.9%,48件
8,1350-1399,8371円,104分,110.7%,65件
9,1400-1449,7490円,107分,109.3%,72件
10,1450-1499,8195円,103分,110.6%,74件
11,1500-1549,7853円,106分,109.9%,71件
12,1550-1599,6837円,99分,109.2%,83件
13,1600-1649,7042円,99分,109.5%,91件
14,1650-1699,7749円,90分,111.5%,84件
15,1700-1749,8423円,89分,112.6%,74件
16,1750-1799,7095円,92分,110.3%,82件
17,1800-1849,8481円,82分,113.9%,75件
18,1850-1899,8138円,85分,112.8%,82件
19,1900-1949,9400円,77分,116.2%,85件
20,1950-1999,7310円,75分,113%,75件
21,2000-2049,8931円,68分,117.6%,67件
22,2050-2099,10229円,70分,119.5%,83件
23,2100-2149,8813円,63分,118.6%,61件
24,2150-2199,6490円,62分,114%,62件
25,2200-2249,8576円,54分,121.3%,59件
26,2250-2299,10726円,47分,130.6%,67件
27,2300-2349,8216円,47分,123.2%,43件
28,2350-2399,9798円,42分,131.1%,48件
29,2400-2449,9868円,38分,135%,41件
30,2450-2499,9214円,43分,128.8%,38件
31,2500-2549,9791円,38分,134.2%,50件
32,2550-2599,10918円,37分,139.2%,53件
33,2600-2649,11014円,36分,140.7%,51件
34,2650-2699,10645円,38分,137%,39件
35,2700-2749,11221円,35分,143.3%,40件
36,2750-2799,11836円,32分,149.1%,45件
37,2800-2849,12245円,29分,156.7%,41件
38,2850-2899,13414円,26分,168.1%,28件
39,2900-2949,13453円,21分,183.6%,36件
