,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-1701円,155分,98.5%,26704件
1,300-349,-1479円,155分,98.7%,8083件
2,350-399,-956円,153分,99.2%,4303件
3,400-449,-911円,151分,99.2%,2937件
4,450-499,-581円,148分,99.5%,2450件
5,500-549,-724円,148分,99.3%,2057件
6,550-599,-549円,146分,99.5%,1971件
7,600-649,-297円,142分,99.7%,1884件
8,650-699,-328円,142分,99.7%,1892件
9,700-749,42円,138分,100%,1818件
10,750-799,-90円,136分,99.9%,1853件
11,800-849,45円,134分,100%,1804件
12,850-899,413円,133分,100.4%,1825件
13,900-949,427円,130分,100.4%,1647件
14,950-999,702円,126分,100.7%,1906件
15,1000-1049,954円,124分,101%,1946件
16,1050-1099,1355円,122分,101.5%,1830件
17,1100-1149,1612円,120分,101.8%,1803件
18,1150-1199,1546円,120分,101.7%,1695件
19,1200-1249,1216円,117分,101.4%,1703件
20,1250-1299,1697円,113分,102%,1586件
21,1300-1349,2076円,109分,102.5%,1543件
22,1350-1399,2363円,109分,102.9%,1447件
23,1400-1449,2011円,105分,102.5%,1449件
24,1450-1499,2746円,102分,103.6%,1460件
25,1500-1549,2470円,100分,103.3%,1445件
26,1550-1599,2659円,96分,103.7%,1348件
27,1600-1649,2790円,95分,103.9%,1284件
28,1650-1699,3313円,93分,104.8%,1324件
29,1700-1749,3591円,88分,105.4%,1254件
30,1750-1799,3682円,86分,105.7%,1272件
31,1800-1849,3920円,84分,106.2%,1245件
32,1850-1899,3895円,82分,106.4%,1188件
33,1900-1949,4501円,78分,107.7%,1139件
34,1950-1999,4537円,73分,108.3%,1180件
35,2000-2049,4361円,69分,108.4%,1112件
36,2050-2099,4409円,65分,109%,1071件
37,2100-2149,5110円,62分,111%,1049件
38,2150-2199,5276円,59分,111.8%,1005件
39,2200-2249,5226円,56分,112.4%,977件
40,2250-2299,5453円,53分,113.8%,988件
41,2300-2349,5789円,49分,115.7%,967件
42,2350-2399,5938円,46分,117.1%,940件
43,2400-2449,6127円,45分,118.2%,877件
44,2450-2499,6846円,42分,121.5%,873件
45,2500-2549,6938円,42分,122.2%,852件
46,2550-2599,7318円,40分,124.1%,810件
47,2600-2649,7865円,38分,127.8%,847件
48,2650-2699,8426円,36分,130.9%,779件
49,2700-2749,8387円,36分,131%,655件
