,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,8632円,100分,111.5%,677件
1,1550-1599,7892円,98分,110.8%,596件
2,1600-1649,9220円,97分,112.7%,587件
3,1650-1699,8237円,92分,111.9%,602件
4,1700-1749,8863円,90分,113.1%,576件
5,1750-1799,8670円,87分,113.2%,606件
6,1800-1849,9199円,84分,114.6%,532件
7,1850-1899,9763円,81分,116.1%,508件
8,1900-1949,9658円,79分,116.2%,536件
9,1950-1999,9797円,76分,117.1%,509件
10,2000-2049,9499円,72分,117.5%,482件
11,2050-2099,10077円,71分,119%,516件
12,2100-2149,9998円,67分,120%,506件
13,2150-2199,10295円,63分,121.8%,437件
14,2200-2249,9842円,56分,123.4%,442件
15,2250-2299,9435円,50分,125.1%,435件
16,2300-2349,9836円,45分,129.3%,428件
17,2350-2399,10189円,43分,131.4%,402件
18,2400-2449,9932円,42分,131.3%,404件
19,2450-2499,10033円,41分,132.8%,406件
20,2500-2549,10610円,39分,136.1%,419件
21,2550-2599,11186円,37分,139.9%,372件
22,2600-2649,11352円,37分,141.4%,374件
23,2650-2699,11737円,36分,144%,366件
24,2700-2749,12062円,34分,147.1%,334件
25,2750-2799,13185円,31分,156.3%,363件
26,2800-2849,13299円,29分,160.9%,331件
27,2850-2899,13659円,26分,169.6%,307件
28,2900-2949,14602円,24分,181.8%,285件
