,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1050-1099,5168円,125分,105.5%,1400件
1,1100-1149,4923円,124分,105.3%,799件
2,1150-1199,5737円,119分,106.4%,820件
3,1200-1249,5473円,118分,106.2%,727件
4,1250-1299,5933円,115分,106.9%,654件
5,1300-1349,5560円,113分,106.6%,617件
6,1350-1399,5991円,111分,107.2%,636件
7,1400-1449,5709円,109分,107%,560件
8,1450-1499,6225円,105分,107.9%,550件
9,1500-1549,6748円,102分,108.8%,508件
10,1550-1599,6279円,100分,108.4%,521件
11,1600-1649,6839円,96分,109.5%,577件
12,1650-1699,6441円,93分,109.3%,504件
13,1700-1749,6464円,92分,109.4%,519件
14,1750-1799,7334円,87分,111.3%,492件
15,1800-1849,7745円,84分,112.3%,453件
16,1850-1899,7191円,83分,111.5%,417件
17,1900-1949,7955円,78分,113.5%,468件
18,1950-1999,8478円,77分,114.7%,430件
19,2000-2049,7338円,71分,113.8%,415件
20,2050-2099,7597円,68分,115%,379件
21,2100-2149,7864円,63分,116.7%,390件
22,2150-2199,8532円,58分,119.6%,405件
23,2200-2249,8543円,55分,120.6%,384件
24,2250-2299,7736円,51分,120.1%,402件
25,2300-2349,7865円,49分,121.2%,352件
26,2350-2399,8203円,48分,123%,349件
27,2400-2449,8960円,44分,126.9%,372件
28,2450-2499,8619円,43分,126.4%,314件
29,2500-2549,9185円,42分,129.4%,353件
30,2550-2599,9656円,41分,131.3%,324件
31,2600-2649,10047円,39分,134.2%,303件
32,2650-2699,10564円,38分,137.1%,270件
33,2700-2749,10541円,35分,139.7%,300件
34,2750-2799,11404円,33分,146.5%,250件
35,2800-2849,12631円,30分,156.2%,259件
36,2850-2899,13320円,26分,168.2%,244件
37,2900-2949,14259円,24分,178.4%,206件
