,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1707円,142分,101.6%,928件
1,600-649,1093円,142分,101%,1228件
2,650-699,1490円,138分,101.4%,1115件
3,700-749,1978円,135分,102%,998件
4,750-799,2308円,133分,102.3%,886件
5,800-849,2083円,134分,102.1%,787件
6,850-899,2077円,131分,102.1%,768件
7,900-949,2504円,128分,102.6%,731件
8,950-999,1947円,129分,102%,639件
9,1000-1049,3115円,124分,103.4%,616件
10,1050-1099,2927円,121分,103.2%,531件
11,1100-1149,3290円,120分,103.6%,538件
12,1150-1199,3382円,116分,103.9%,980件
13,1200-1249,3460円,114分,104.1%,533件
14,1250-1299,4040円,110分,104.9%,572件
15,1300-1349,3965円,110分,104.8%,526件
16,1350-1399,4364円,106分,105.5%,448件
17,1400-1449,3555円,105分,104.5%,444件
18,1450-1499,4571円,101分,106.1%,445件
19,1500-1549,4207円,100分,105.6%,399件
20,1550-1599,4807円,96分,106.7%,368件
21,1600-1649,5375円,93分,107.7%,352件
22,1650-1699,4826円,91分,107.1%,376件
23,1700-1749,5850円,87分,108.9%,411件
24,1750-1799,5733円,83分,109.3%,373件
25,1800-1849,5016円,84分,108%,358件
26,1850-1899,6307円,79分,110.6%,327件
27,1900-1949,6584円,76分,111.5%,312件
28,1950-1999,5995円,74分,110.8%,285件
29,2000-2049,7632円,70分,114.5%,332件
30,2050-2099,7530円,68分,114.7%,292件
31,2100-2149,7141円,62分,115.3%,295件
32,2150-2199,7375円,57分,117.2%,256件
33,2200-2249,7474円,54分,118.6%,272件
34,2250-2299,8526円,47分,124.2%,274件
35,2300-2349,7976円,45分,123.5%,254件
36,2350-2399,8072円,42分,125.6%,279件
37,2400-2449,8328円,41分,127.1%,252件
38,2450-2499,8121円,41分,126.2%,239件
39,2500-2549,9308円,38分,132.8%,253件
40,2550-2599,9131円,37分,132.8%,215件
41,2600-2649,9569円,35分,136%,248件
42,2650-2699,10018円,34分,138.9%,211件
43,2700-2749,10299円,33分,141.9%,201件
44,2750-2799,11129円,31分,147.7%,192件
45,2800-2849,11552円,28分,155.5%,215件
46,2850-2899,11803円,25分,163.4%,170件
47,2900-2949,13280円,23分,178%,156件
