,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,492円,153分,100.4%,2969件
1,450-499,778円,152分,100.7%,2878件
2,500-549,830円,148分,100.7%,2721件
3,550-599,732円,148分,100.7%,2711件
4,600-649,1084円,143分,101%,2626件
5,650-699,1020円,142分,101%,2628件
6,700-749,1038円,140分,101%,2614件
7,750-799,1400円,139分,101.3%,2619件
8,800-849,1505円,136分,101.5%,2447件
9,850-899,1542円,132分,101.6%,2722件
10,900-949,1774円,131分,101.8%,2784件
11,950-999,2096円,129分,102.2%,2668件
12,1000-1049,2370円,126分,102.5%,2579件
13,1050-1099,2267円,125分,102.4%,2458件
14,1100-1149,1972円,123分,102.1%,2449件
15,1150-1199,2506円,119分,102.8%,2307件
16,1200-1249,2691円,115分,103.1%,2250件
17,1250-1299,2716円,115分,103.2%,2137件
18,1300-1349,2924円,112分,103.5%,2100件
19,1350-1399,3134円,109分,103.8%,2093件
20,1400-1449,2929円,106分,103.7%,2079件
21,1450-1499,3171円,103分,104.1%,1951件
22,1500-1549,3407円,101分,104.5%,1882件
23,1550-1599,3843円,99分,105.2%,1949件
24,1600-1649,4020円,95分,105.6%,1820件
25,1650-1699,4140円,93分,106%,1841件
26,1700-1749,4189円,90分,106.2%,1845件
27,1750-1799,3924円,88分,105.9%,1704件
28,1800-1849,4627円,84分,107.3%,1645件
29,1850-1899,4300円,81分,107.1%,1663件
30,1900-1949,4525円,77分,107.8%,1623件
31,1950-1999,4414円,73分,108.1%,1516件
32,2000-2049,5126円,70分,109.8%,1554件
33,2050-2099,5457円,67分,110.9%,1482件
34,2100-2149,5342円,64分,111.1%,1458件
35,2150-2199,5239円,61分,111.5%,1415件
36,2200-2249,5653円,58分,113.1%,1415件
37,2250-2299,5846円,54分,114.4%,1367件
38,2300-2349,5911円,51分,115.4%,1262件
39,2350-2399,6497円,47分,118.4%,1279件
40,2400-2449,6338円,47分,118.2%,1228件
41,2450-2499,6839円,45分,120.4%,1206件
42,2500-2549,7380円,42分,123.3%,1217件
43,2550-2599,7854円,41分,125.5%,1171件
44,2600-2649,7753円,41分,125.2%,938件
