,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2429円,159分,98%,396件
1,250-299,-980円,156分,99.2%,664件
2,300-349,-1584円,156分,98.6%,1020件
3,350-399,-1525円,153分,98.7%,1197件
4,400-449,-866円,150分,99.2%,1309件
5,450-499,-729円,149分,99.3%,1342件
6,500-549,-389円,144分,99.6%,1402件
7,550-599,-400円,145分,99.6%,1429件
8,600-649,-599円,143分,99.4%,1418件
9,650-699,-203円,142分,99.8%,1450件
10,700-749,-29円,138分,100%,1456件
11,750-799,631円,136分,100.6%,1363件
12,800-849,-140円,136分,99.9%,1633件
13,850-899,462円,131分,100.5%,1597件
14,900-949,343円,130分,100.4%,1616件
15,950-999,993円,127分,101%,1472件
16,1000-1049,1059円,124分,101.1%,1455件
17,1050-1099,1126円,124分,101.2%,1274件
18,1100-1149,1206円,121分,101.3%,1241件
19,1150-1199,1279円,121分,101.4%,1110件
20,1200-1249,1210円,115分,101.4%,1065件
21,1250-1299,1778円,114分,102.1%,1073件
22,1300-1349,2007円,111分,102.4%,992件
23,1350-1399,1801円,109分,102.2%,938件
24,1400-1449,2457円,106分,103.1%,990件
25,1450-1499,3035円,101分,104%,995件
26,1500-1549,2511円,100分,103.4%,900件
27,1550-1599,3213円,98分,104.4%,760件
28,1600-1649,2959円,96分,104.1%,778件
29,1650-1699,3318円,93分,104.8%,786件
30,1700-1749,2924円,89分,104.4%,739件
31,1750-1799,3458円,86分,105.4%,768件
32,1800-1849,3771円,83分,106.1%,700件
33,1850-1899,4253円,79分,107.2%,680件
34,1900-1949,4047円,74分,107.3%,677件
35,1950-1999,4143円,74分,107.5%,619件
36,2000-2049,4318円,69分,108.3%,634件
37,2050-2099,4160円,69分,108.1%,594件
38,2100-2149,4895円,64分,110.2%,586件
39,2150-2199,5513円,60分,112.3%,573件
40,2200-2249,5286円,58分,112.1%,578件
41,2250-2299,5323円,54分,113.2%,501件
42,2300-2349,5835円,51分,115.3%,514件
43,2350-2399,5536円,48分,115.3%,463件
44,2400-2449,6089円,46分,117.8%,474件
45,2450-2499,6525円,44分,119.9%,460件
46,2500-2549,6931円,43分,121.6%,437件
47,2550-2599,7586円,41分,124.7%,469件
48,2600-2649,8500円,38分,130%,437件
49,2650-2699,8717円,36分,132.4%,471件
50,2700-2749,9671円,34分,137.8%,400件
51,2750-2799,10141円,32分,142.2%,381件
52,2800-2849,11163円,29分,151.8%,355件
53,2850-2899,11930円,26分,162%,327件
54,2900-2949,13075円,23分,176.7%,252件
