,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,1126円,132分,101.1%,34件
1,850-899,2532円,133分,102.5%,41件
2,900-949,1750円,121分,101.9%,58件
3,950-999,2052円,131分,102.1%,47件
4,1000-1049,1358円,117分,101.5%,60件
5,1050-1099,4507円,120分,105%,65件
6,1100-1149,1572円,121分,101.7%,81件
7,1150-1199,544円,114分,100.6%,67件
8,1200-1249,2113円,111分,102.5%,75件
9,1250-1299,3958円,106分,105%,102件
10,1300-1349,2550円,111分,103.1%,96件
11,1350-1399,3583円,109分,104.4%,101件
12,1400-1449,3299円,107分,104.1%,108件
13,1450-1499,2564円,102分,103.4%,112件
14,1500-1549,2722円,102分,103.6%,133件
15,1550-1599,3769円,93分,105.4%,114件
16,1600-1649,3216円,95分,104.5%,101件
17,1650-1699,3141円,96分,104.3%,113件
18,1700-1749,5019円,86分,107.8%,109件
19,1750-1799,4167円,88分,106.3%,121件
20,1800-1849,5415円,80分,109%,117件
21,1850-1899,2553円,81分,104.2%,104件
22,1900-1949,5979円,71分,111.3%,101件
23,1950-1999,5812円,74分,110.5%,112件
24,2000-2049,5607円,66分,111.3%,84件
25,2050-2099,5041円,67分,110.1%,93件
26,2100-2149,4942円,61分,110.7%,81件
27,2150-2199,7867円,55分,119.2%,107件
28,2200-2249,5200円,54分,112.8%,60件
29,2250-2299,7535円,48分,120.9%,76件
30,2300-2349,7094円,42分,122.3%,65件
31,2350-2399,6699円,45分,119.8%,59件
32,2400-2449,7142円,41分,123.2%,73件
33,2450-2499,7910円,40分,126.2%,71件
34,2500-2549,7416円,42分,123.5%,72件
35,2550-2599,7870円,42分,125.3%,54件
36,2600-2649,7956円,39分,127.3%,58件
37,2650-2699,8349円,37分,130.1%,60件
38,2700-2749,9191円,34分,136.1%,57件
39,2750-2799,9689円,30分,142.9%,41件
40,2800-2849,10336円,28分,149.9%,58件
41,2850-2899,11824円,26分,160.4%,49件
42,2900-2949,13169円,21分,185.5%,42件
