,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1000-1049,5545円,133分,105.6%,67件
1,1050-1099,4682円,122分,105.1%,70件
2,1100-1149,4546円,124分,104.9%,82件
3,1150-1199,5851円,124分,106.3%,96件
4,1200-1249,4746円,120分,105.3%,102件
5,1250-1299,6253円,110分,107.6%,101件
6,1300-1349,6146円,114分,107.2%,108件
7,1350-1399,5951円,108分,107.3%,101件
8,1400-1449,5516円,105分,107%,110件
9,1450-1499,4466円,105分,105.7%,131件
10,1500-1549,5243円,102分,106.8%,113件
11,1550-1599,5514円,98分,107.5%,144件
12,1600-1649,6028円,95分,108.5%,130件
13,1650-1699,6475円,94分,109.1%,138件
14,1700-1749,7067円,94分,110%,127件
15,1750-1799,6399円,87分,109.8%,113件
16,1800-1849,5895円,84分,109.4%,144件
17,1850-1899,6185円,79分,110.5%,139件
18,1900-1949,5487円,79分,109.3%,125件
19,1950-1999,7710円,74分,113.8%,126件
20,2000-2049,6359円,70分,112.1%,93件
21,2050-2099,4757円,70分,109.1%,98件
22,2100-2149,6818円,69分,113.2%,90件
23,2150-2199,7648円,64分,116%,91件
24,2200-2249,7385円,56分,117.6%,106件
25,2250-2299,7937円,53分,120.1%,87件
26,2300-2349,8002円,48分,122.2%,83件
27,2350-2399,7176円,48分,120.1%,86件
28,2400-2449,8119円,45分,124%,81件
29,2450-2499,7559円,44分,122.9%,64件
30,2500-2549,8038円,44分,124.2%,80件
31,2550-2599,8451円,43分,125.9%,76件
32,2600-2649,9186円,40分,131%,66件
33,2650-2699,10453円,38分,136.7%,60件
34,2700-2749,10316円,36分,138.7%,51件
35,2750-2799,11674円,32分,149.4%,54件
36,2800-2849,12376円,31分,153.6%,74件
37,2850-2899,12939円,27分,163.5%,63件
38,2900-2949,14589円,24分,182.4%,47件
