,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,6451円,132分,106.5%,36件
1,950-999,4268円,123分,104.6%,43件
2,1000-1049,6098円,129分,106.3%,41件
3,1050-1099,5485円,115分,106.3%,53件
4,1100-1149,7783円,120分,108.7%,45件
5,1150-1199,5393円,123分,105.9%,64件
6,1200-1249,3190円,114分,103.7%,57件
7,1250-1299,5667円,111分,106.8%,65件
8,1300-1349,7301円,106分,109.2%,82件
9,1350-1399,6307円,110分,107.6%,84件
10,1400-1449,7277円,107分,109.1%,86件
11,1450-1499,7120円,106分,109%,86件
12,1500-1549,5933円,101分,107.8%,95件
13,1550-1599,5547円,102分,107.3%,109件
14,1600-1649,6407円,95分,109%,95件
15,1650-1699,6460円,93分,109.3%,85件
16,1700-1749,6386円,95分,108.9%,100件
17,1750-1799,7978円,84分,112.7%,93件
18,1800-1849,7081円,87分,110.9%,99件
19,1850-1899,8655円,78分,114.8%,105件
20,1900-1949,5753円,78分,109.8%,88件
21,1950-1999,8650円,70分,116.5%,84件
22,2000-2049,9017円,74分,116.3%,99件
23,2050-2099,7839円,66分,115.9%,72件
24,2100-2149,6741円,65分,113.7%,77件
25,2150-2199,7245円,59分,116.5%,68件
26,2200-2249,9648円,52分,124.7%,84件
27,2250-2299,7438円,51分,119.6%,48件
28,2300-2349,9085円,46分,126.4%,61件
29,2350-2399,9022円,42分,128.7%,51件
30,2400-2449,8849円,43分,127.3%,50件
31,2450-2499,8844円,40分,129.4%,57件
32,2500-2549,9836円,40分,133%,60件
33,2550-2599,9505円,40分,131.4%,61件
34,2600-2649,9530円,41分,131.1%,46件
35,2650-2699,9778円,38分,134.2%,49件
36,2700-2749,10672円,35分,141%,52件
37,2750-2799,11133円,32分,146.3%,47件
38,2800-2849,11752円,29分,154.1%,33件
39,2850-2899,12522円,25分,167.4%,50件
40,2900-2949,14206円,25分,175.9%,38件
