,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2827円,162分,97.7%,4808件
1,150-199,-2894円,162分,97.6%,6040件
2,200-249,-2985円,161分,97.5%,5312件
3,250-299,-2522円,158分,97.9%,5009件
4,300-349,-2253円,156分,98.1%,4375件
5,350-399,-2219円,154分,98.1%,3988件
6,400-449,-2113円,153分,98.2%,3750件
7,450-499,-1813円,149分,98.4%,3599件
8,500-549,-1851円,148分,98.3%,3186件
9,550-599,-1533円,146分,98.6%,3101件
10,600-649,-1036円,143分,99%,2912件
11,650-699,-882円,142分,99.2%,2750件
12,700-749,-934円,138分,99.1%,4989件
13,750-799,-906円,138分,99.1%,2869件
14,800-849,-962円,136分,99.1%,2916件
15,850-899,-573円,133分,99.4%,2436件
16,900-949,-380円,131分,99.6%,2233件
17,950-999,-293円,128分,99.7%,2151件
18,1000-1049,-497円,127分,99.5%,2086件
19,1050-1099,-121円,123分,99.9%,2003件
20,1100-1149,462円,120分,100.5%,2061件
21,1150-1199,1089円,119分,101.2%,1888件
22,1200-1249,641円,116分,100.7%,1911件
23,1250-1299,1330円,112分,101.6%,1900件
24,1300-1349,587円,112分,100.7%,1791件
25,1350-1399,926円,109分,101.1%,1836件
26,1400-1449,1655円,105分,102.1%,1730件
27,1450-1499,1860円,103分,102.4%,1749件
28,1500-1549,1933円,101分,102.6%,1625件
29,1550-1599,2148円,97分,103%,1633件
30,1600-1649,2496円,96分,103.5%,1540件
31,1650-1699,2108円,92分,103%,1511件
32,1700-1749,2587円,89分,103.9%,1446件
33,1750-1799,3006円,86分,104.7%,1456件
34,1800-1849,2673円,83分,104.3%,1403件
35,1850-1899,2897円,80分,104.8%,1368件
36,1900-1949,2989円,76分,105.3%,1373件
37,1950-1999,3744円,73分,106.8%,1330件
38,2000-2049,3646円,70分,106.9%,1312件
39,2050-2099,4029円,68分,107.9%,1268件
40,2100-2149,4070円,65分,108.4%,1169件
41,2150-2199,3824円,61分,108.3%,1164件
42,2200-2249,4695円,58分,110.7%,1147件
43,2250-2299,4874円,54分,112%,1147件
44,2300-2349,5047円,51分,113.2%,1061件
45,2350-2399,5153円,48分,114.3%,1096件
46,2400-2449,5754円,46分,116.6%,1015件
47,2450-2499,6263円,45分,118.7%,1015件
48,2500-2549,6648円,43分,120.6%,954件
49,2550-2599,7326円,42分,123.5%,853件
50,2600-2649,7903円,38分,127.5%,708件
51,2650-2699,8433円,37分,130.5%,631件
52,2700-2749,9014円,34分,135.4%,473件
53,2750-2799,9992円,32分,141.9%,370件
54,2800-2849,10758円,28分,150.6%,317件
55,2850-2899,12190円,25分,163.9%,264件
56,2900-2949,12531円,23分,171.8%,192件
