,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-278円,148分,99.7%,1644件
1,450-499,-900円,150分,99.2%,2079件
2,500-549,-617円,147分,99.4%,1887件
3,550-599,-169円,144分,99.8%,1736件
4,600-649,132円,142分,100.1%,1525件
5,650-699,-178円,142分,99.8%,1344件
6,700-749,-25円,140分,100%,1288件
7,750-799,511円,134分,100.5%,1239件
8,800-849,56円,137分,100.1%,1097件
9,850-899,826円,133分,100.8%,1078件
10,900-949,1328円,129分,101.4%,951件
11,950-999,1682円,127分,101.8%,929件
12,1000-1049,920円,125分,101%,1661件
13,1050-1099,799円,124分,100.9%,945件
14,1100-1149,1693円,119分,101.9%,1007件
15,1150-1199,1451円,119分,101.6%,846件
16,1200-1249,1948円,116分,102.2%,781件
17,1250-1299,1793円,113分,102.1%,747件
18,1300-1349,2389円,111分,102.9%,771件
19,1350-1399,2083円,109分,102.6%,670件
20,1400-1449,2748円,105分,103.5%,673件
21,1450-1499,3491円,102分,104.5%,620件
22,1500-1549,2770円,101分,103.6%,628件
23,1550-1599,3261円,97分,104.5%,670件
24,1600-1649,3267円,94分,104.7%,609件
25,1650-1699,3384円,92分,104.9%,614件
26,1700-1749,4089円,88分,106.2%,588件
27,1750-1799,4583円,86分,107.1%,564件
28,1800-1849,4050円,85分,106.4%,504件
29,1850-1899,4683円,80分,107.9%,551件
30,1900-1949,5348円,79分,109.1%,515件
31,1950-1999,4774円,72分,108.8%,505件
32,2000-2049,4983円,70分,109.4%,457件
33,2050-2099,5055円,66分,110.2%,463件
34,2100-2149,5853円,61分,112.8%,470件
35,2150-2199,6122円,58分,114.1%,460件
36,2200-2249,5270円,54分,112.9%,465件
37,2250-2299,6067円,52分,115.6%,439件
38,2300-2349,6199円,50分,116.7%,429件
39,2350-2399,6742円,45分,119.8%,444件
40,2400-2449,6399円,44分,119.2%,370件
41,2450-2499,7019円,42分,122.1%,429件
42,2500-2549,7417円,42分,123.5%,376件
43,2550-2599,8073円,39分,127.4%,379件
44,2600-2649,8381円,39分,128.6%,334件
45,2650-2699,8362円,36分,130.6%,367件
46,2700-2749,9187円,34分,135.6%,306件
47,2750-2799,10297円,31分,144%,325件
48,2800-2849,10999円,28分,152.5%,310件
49,2850-2899,11890円,26分,160.8%,278件
50,2900-2949,13042円,23分,175.1%,183件
