,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,975円,141分,100.9%,77件
1,750-799,1976円,134分,102%,87件
2,800-849,2134円,125分,102.3%,101件
3,850-899,817円,129分,100.8%,147件
4,900-949,1999円,129分,102.1%,144件
5,950-999,1671円,125分,101.8%,160件
6,1000-1049,1532円,124分,101.6%,179件
7,1050-1099,1170円,125分,101.2%,190件
8,1100-1149,2713円,123分,102.9%,193件
9,1150-1199,3677円,116分,104.2%,213件
10,1200-1249,1989円,117分,102.3%,210件
11,1250-1299,1400円,114分,101.6%,252件
12,1300-1349,3616円,109分,104.4%,247件
13,1350-1399,3185円,113分,103.8%,238件
14,1400-1449,3621円,104分,104.7%,231件
15,1450-1499,4311円,98分,105.9%,238件
16,1500-1549,3942円,99分,105.3%,229件
17,1550-1599,4193円,98分,105.7%,234件
18,1600-1649,4522円,93分,106.5%,208件
19,1650-1699,3338円,90分,105%,186件
20,1700-1749,4102円,90分,106.1%,197件
21,1750-1799,4471円,82分,107.2%,183件
22,1800-1849,4831円,82分,107.9%,176件
23,1850-1899,4841円,79分,108.1%,189件
24,1900-1949,5539円,76分,109.7%,186件
25,1950-1999,5612円,71分,110.5%,150件
26,2000-2049,6226円,73分,111.4%,159件
27,2050-2099,5555円,66分,111.2%,144件
28,2100-2149,7580円,61分,116.5%,134件
29,2150-2199,5302円,60分,111.8%,122件
30,2200-2249,6741円,54分,116.7%,101件
31,2250-2299,5399円,51分,114.2%,122件
32,2300-2349,7448円,45分,122%,139件
33,2350-2399,7743円,40分,125.6%,110件
34,2400-2449,7668円,42分,124.1%,103件
35,2450-2499,7228円,44分,121.8%,91件
36,2500-2549,8883円,39分,130.7%,104件
37,2550-2599,8159円,40分,127.2%,98件
38,2600-2649,8904円,37分,131.8%,88件
39,2650-2699,9077円,36分,133.2%,85件
40,2700-2749,9579円,34分,137.1%,83件
41,2750-2799,9830円,31分,142.9%,79件
42,2800-2849,11589円,29分,153.5%,106件
43,2850-2899,12256円,25分,166.4%,84件
44,2900-2949,12366円,22分,174.2%,62件
