,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,5957円,122分,106.5%,176件
1,1150-1199,5187円,121分,105.7%,159件
2,1200-1249,5496円,121分,106.1%,197件
3,1250-1299,5490円,119分,106.2%,180件
4,1300-1349,5714円,112分,106.8%,209件
5,1350-1399,4716円,113分,105.6%,224件
6,1400-1449,5399円,110分,106.6%,211件
7,1450-1499,5954円,103分,107.7%,175件
8,1500-1549,5440円,107分,106.8%,185件
9,1550-1599,6280円,100分,108.4%,197件
10,1600-1649,5352円,99分,107.2%,199件
11,1650-1699,6933円,92分,110.1%,208件
12,1700-1749,5067円,91分,107.5%,188件
13,1750-1799,7524円,85分,111.8%,186件
14,1800-1849,7335円,85分,111.5%,185件
15,1850-1899,6373円,81分,110.5%,153件
16,1900-1949,6586円,78分,111.2%,169件
17,1950-1999,7145円,72分,113.2%,153件
18,2000-2049,7269円,70分,113.8%,161件
19,2050-2099,8280円,67分,116.6%,140件
20,2100-2149,8843円,63分,118.6%,137件
21,2150-2199,7858円,57分,118.4%,112件
22,2200-2249,7731円,57分,118.1%,120件
23,2250-2299,7827円,53分,119.6%,125件
24,2300-2349,7524円,51分,119.6%,120件
25,2350-2399,6126円,51分,116%,113件
26,2400-2449,8755円,45分,126.1%,112件
27,2450-2499,8375円,44分,125.4%,109件
28,2500-2549,8543円,43分,126.3%,106件
29,2550-2599,8905円,41分,128.8%,104件
30,2600-2649,10036円,38分,135.3%,92件
31,2650-2699,9453円,38分,133.4%,101件
32,2700-2749,10448円,36分,138.4%,91件
33,2750-2799,11687円,32分,148.6%,84件
34,2800-2849,12380円,30分,154.6%,65件
35,2850-2899,13338円,26分,167.5%,83件
36,2900-2949,13939円,26分,170.6%,72件
