,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,-190円,145分,99.8%,112件
1,650-699,131円,142分,100.1%,135件
2,700-749,135円,133分,100.1%,156件
3,750-799,-1476円,137分,98.6%,189件
4,800-849,1095円,132分,101.1%,210件
5,850-899,340円,132分,100.3%,229件
6,900-949,1233円,126分,101.3%,272件
7,950-999,-39円,130分,100%,277件
8,1000-1049,1054円,127分,101.1%,269件
9,1050-1099,1820円,121分,102%,311件
10,1100-1149,553円,123分,100.6%,327件
11,1150-1199,945円,118分,101.1%,360件
12,1200-1249,2306円,113分,102.7%,353件
13,1250-1299,2314円,115分,102.7%,351件
14,1300-1349,2104円,109分,102.6%,342件
15,1350-1399,2974円,102分,103.9%,343件
16,1400-1449,2551円,104分,103.3%,330件
17,1450-1499,2770円,102分,103.6%,334件
18,1500-1549,2715円,100分,103.6%,283件
19,1550-1599,2094円,97分,102.9%,273件
20,1600-1649,2815円,95分,104%,274件
21,1650-1699,3418円,90分,105%,286件
22,1700-1749,3422円,88分,105.2%,249件
23,1750-1799,2975円,86分,104.6%,255件
24,1800-1849,3851円,85分,106.1%,263件
25,1850-1899,4255円,78分,107.3%,223件
26,1900-1949,4678円,79分,107.9%,199件
27,1950-1999,4664円,72分,108.7%,216件
28,2000-2049,5900円,68分,111.5%,197件
29,2050-2099,3640円,67分,107.2%,173件
30,2100-2149,5761円,61分,112.5%,162件
31,2150-2199,4888円,58分,111.3%,179件
32,2200-2249,5348円,54分,113.2%,184件
33,2250-2299,6570円,49分,118%,164件
34,2300-2349,6341円,48分,117.4%,157件
35,2350-2399,5644円,47分,116.1%,143件
36,2400-2449,7274円,42分,123%,140件
37,2450-2499,6372円,45分,119%,140件
38,2500-2549,7419円,41分,124%,123件
39,2550-2599,8077円,40分,126.7%,130件
40,2600-2649,7754円,39分,126.2%,114件
41,2650-2699,8792円,35分,133.2%,120件
42,2700-2749,9673円,34分,137.9%,145件
43,2750-2799,10067円,31分,142.9%,124件
44,2800-2849,11010円,28分,151.8%,110件
45,2850-2899,12692円,25分,167.2%,107件
46,2900-2949,12859円,23分,173.5%,102件
