,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2562円,162分,97.9%,46521件
1,150-199,-2495円,162分,97.9%,13917件
2,200-249,-2094円,160分,98.3%,7392件
3,250-299,-1887円,156分,98.4%,5074件
4,300-349,-1704円,152分,98.5%,4115件
5,350-399,-1540円,153分,98.7%,3562件
6,400-449,-1204円,152分,98.9%,3473件
7,450-499,-1003円,147分,99.1%,3353件
8,500-549,-1119円,147分,99%,3280件
9,550-599,-711円,143分,99.3%,3182件
10,600-649,-731円,142分,99.3%,3171件
11,650-699,-722円,140分,99.3%,3154件
12,700-749,-488円,139分,99.5%,3157件
13,750-799,-134円,136分,99.9%,3006件
14,800-849,-281円,133分,99.7%,3267件
15,850-899,57円,132分,100.1%,3358件
16,900-949,248円,129分,100.3%,3220件
17,950-999,633円,126分,100.7%,3133件
18,1000-1049,610円,125分,100.6%,2999件
19,1050-1099,501円,124分,100.5%,2978件
20,1100-1149,841円,120分,100.9%,2780件
21,1150-1199,1115円,116分,101.3%,2722件
22,1200-1249,1233円,116分,101.4%,2612件
23,1250-1299,1557円,113分,101.8%,2542件
24,1300-1349,1611円,110分,102%,2508件
25,1350-1399,1389円,108分,101.7%,2507件
26,1400-1449,2009円,104分,102.6%,2425件
27,1450-1499,1994円,103分,102.6%,2301件
28,1500-1549,2332円,100分,103.1%,2342件
29,1550-1599,2492円,97分,103.4%,2209件
30,1600-1649,2639円,94分,103.7%,2222件
31,1650-1699,2744円,92分,104%,2219件
32,1700-1749,2875円,89分,104.3%,2115件
33,1750-1799,3175円,86分,104.9%,1986件
34,1800-1849,3038円,83分,104.9%,2068件
35,1850-1899,3406円,79分,105.7%,2019件
36,1900-1949,3156円,76分,105.6%,1810件
37,1950-1999,4000円,73分,107.3%,1886件
38,2000-2049,4204円,70分,108%,1791件
39,2050-2099,4172円,67分,108.4%,1776件
40,2100-2149,4254円,64分,108.9%,1744件
41,2150-2199,4496円,61分,109.9%,1721件
42,2200-2249,4754円,57分,111.1%,1634件
43,2250-2299,5016円,54分,112.4%,1564件
44,2300-2349,5604円,49分,115.1%,1568件
45,2350-2399,5437円,48分,115.1%,1524件
46,2400-2449,5957円,45分,117.6%,1490件
47,2450-2499,6373円,43分,119.7%,1488件
48,2500-2549,6708円,42分,121.1%,1410件
49,2550-2599,6719円,42分,121.4%,1177件
