,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2659円,161分,97.8%,3958件
1,200-249,-2689円,160分,97.8%,5030件
2,250-299,-2669円,159分,97.8%,4444件
3,300-349,-2204円,156分,98.1%,4200件
4,350-399,-2039円,154分,98.2%,3705件
5,400-449,-1973円,152分,98.3%,3363件
6,450-499,-1760円,151分,98.4%,3154件
7,500-549,-1405円,147分,98.7%,3037件
8,550-599,-1660円,147分,98.5%,2669件
9,600-649,-1256円,144分,98.8%,2600件
10,650-699,-670円,141分,99.4%,2447件
11,700-749,-421円,139分,99.6%,2316件
12,750-799,-623円,136分,99.4%,4201件
13,800-849,-496円,135分,99.5%,2416件
14,850-899,-569円,134分,99.4%,2444件
15,900-949,-292円,131分,99.7%,2042件
16,950-999,127円,128分,100.1%,1885件
17,1000-1049,189円,126分,100.2%,1837件
18,1050-1099,-84円,124分,99.9%,1777件
19,1100-1149,98円,122分,100.1%,1672件
20,1150-1199,739円,118分,100.8%,1710件
21,1200-1249,1403円,116分,101.6%,1539件
22,1250-1299,852円,114分,101%,1573件
23,1300-1349,1484円,110分,101.8%,1592件
24,1350-1399,997円,109分,101.2%,1507件
25,1400-1449,1422円,106分,101.8%,1543件
26,1450-1499,2101円,103分,102.7%,1458件
27,1500-1549,2138円,100分,102.8%,1454件
28,1550-1599,2353円,98分,103.2%,1335件
29,1600-1649,2470円,94分,103.5%,1347件
30,1650-1699,2778円,93分,104%,1269件
31,1700-1749,2369円,90分,103.5%,1261件
32,1750-1799,2908円,86分,104.5%,1192件
33,1800-1849,3181円,83分,105.1%,1204件
34,1850-1899,3152円,80分,105.3%,1177件
35,1900-1949,3388円,77分,105.9%,1119件
36,1950-1999,3400円,72分,106.3%,1143件
37,2000-2049,3902円,70分,107.4%,1100件
38,2050-2099,3864円,67分,107.7%,1087件
39,2100-2149,4484円,64分,109.3%,1076件
40,2150-2199,4476円,61分,109.7%,988件
41,2200-2249,4343円,58分,110%,970件
42,2250-2299,4852円,55分,111.7%,960件
43,2300-2349,5332円,50分,114.1%,968件
44,2350-2399,5515円,48分,115.2%,885件
45,2400-2449,5699円,46分,116.7%,938件
46,2450-2499,6362円,44分,119.3%,844件
47,2500-2549,6746円,43分,120.9%,826件
48,2550-2599,7228円,41分,123.5%,786件
49,2600-2649,7801円,40分,126.3%,700件
50,2650-2699,8507円,37分,131%,584件
51,2700-2749,9179円,34分,135.8%,514件
52,2750-2799,9854円,31分,142.2%,397件
53,2800-2849,10897円,28分,151.1%,300件
54,2850-2899,11814円,25分,162.9%,266件
55,2900-2949,12882円,23分,175.9%,182件
