,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,2158円,145分,102%,1884件
1,650-699,2114円,144分,102%,1892件
2,700-749,2426円,140分,102.3%,1818件
3,750-799,2259円,139分,102.2%,1853件
4,800-849,2369円,136分,102.3%,1804件
5,850-899,2733円,135分,102.7%,1825件
6,900-949,2686円,132分,102.7%,1647件
7,950-999,2903円,128分,103%,1906件
8,1000-1049,3142円,126分,103.3%,1946件
9,1050-1099,3518円,124分,103.8%,1830件
10,1100-1149,3750円,122分,104.1%,1803件
11,1150-1199,3681円,122分,104%,1695件
12,1200-1249,3280円,119分,103.7%,1703件
13,1250-1299,3712円,115分,104.3%,1586件
14,1300-1349,4032円,111分,104.9%,1543件
15,1350-1399,4334円,111分,105.2%,1447件
16,1400-1449,3894円,107分,104.8%,1449件
17,1450-1499,4598円,103分,105.9%,1460件
18,1500-1549,4275円,102分,105.6%,1445件
19,1550-1599,4397円,98分,106%,1348件
20,1600-1649,4519円,96分,106.3%,1284件
21,1650-1699,5019円,94分,107.1%,1324件
22,1700-1749,5219円,90分,107.8%,1254件
23,1750-1799,5294円,88分,108%,1272件
24,1800-1849,5491円,85分,108.6%,1245件
25,1850-1899,5417円,83分,108.7%,1188件
26,1900-1949,5979円,79分,110.1%,1139件
27,1950-1999,5934円,74分,110.6%,1180件
28,2000-2049,5665円,71分,110.7%,1112件
29,2050-2099,5636円,66分,111.3%,1071件
30,2100-2149,6307円,63分,113.3%,1049件
31,2150-2199,6426円,60分,114.2%,1005件
32,2200-2249,6322円,57分,114.8%,977件
33,2250-2299,6484円,54分,116.2%,988件
34,2300-2349,6765円,50分,118.1%,967件
35,2350-2399,6874円,47分,119.5%,940件
36,2400-2449,7043円,46分,120.6%,877件
37,2450-2499,7760円,43分,123.9%,873件
38,2500-2549,7853円,42分,124.7%,852件
39,2550-2599,8233円,41分,126.6%,810件
40,2600-2649,8780円,39分,130.4%,847件
41,2650-2699,9340円,37分,133.6%,779件
42,2700-2749,9302円,37分,133.6%,655件
