,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-2285円,155分,98%,26704件
1,300-349,-2058円,155分,98.2%,8083件
2,350-399,-1531円,153分,98.7%,4303件
3,400-449,-1474円,150分,98.7%,2937件
4,450-499,-1137円,148分,99%,2450件
5,500-549,-1277円,147分,98.8%,2057件
6,550-599,-1101円,146分,99%,1971件
7,600-649,-837円,142分,99.2%,1884件
8,650-699,-865円,142分,99.2%,1892件
9,700-749,-482円,138分,99.5%,1818件
10,750-799,-606円,136分,99.4%,1853件
11,800-849,-466円,134分,99.5%,1804件
12,850-899,-97円,133分,99.9%,1825件
13,900-949,-70円,129分,99.9%,1647件
14,950-999,218円,125分,100.2%,1906件
15,1000-1049,473円,124分,100.5%,1946件
16,1050-1099,880円,122分,101%,1830件
17,1100-1149,1142円,119分,101.3%,1803件
18,1150-1199,1077円,119分,101.2%,1695件
19,1200-1249,762円,117分,100.9%,1703件
20,1250-1299,1254円,113分,101.5%,1586件
21,1300-1349,1647円,109分,102%,1543件
22,1350-1399,1930円,109分,102.4%,1447件
23,1400-1449,1597円,105分,102%,1449件
24,1450-1499,2339円,101分,103.1%,1460件
25,1500-1549,2073円,100分,102.8%,1445件
26,1550-1599,2276円,96分,103.2%,1348件
27,1600-1649,2410円,94分,103.4%,1284件
28,1650-1699,2938円,92分,104.2%,1324件
29,1700-1749,3234円,88分,104.9%,1254件
30,1750-1799,3327円,86分,105.2%,1272件
31,1800-1849,3574円,84分,105.7%,1245件
32,1850-1899,3560円,81分,105.8%,1188件
33,1900-1949,4177円,77分,107.2%,1139件
34,1950-1999,4230円,73分,107.7%,1180件
35,2000-2049,4074円,69分,107.9%,1112件
36,2050-2099,4139円,65分,108.5%,1071件
37,2100-2149,4847円,62分,110.4%,1049件
38,2150-2199,5023円,59分,111.3%,1005件
39,2200-2249,4986円,56分,111.9%,977件
40,2250-2299,5226円,52分,113.3%,988件
41,2300-2349,5574円,49分,115.2%,967件
42,2350-2399,5732円,46分,116.6%,940件
43,2400-2449,5925円,45分,117.7%,877件
44,2450-2499,6645円,42分,120.9%,873件
45,2500-2549,6863円,42分,122%,852件
46,2550-2599,7243円,40分,123.9%,810件
47,2600-2649,7790円,38分,127.6%,847件
48,2650-2699,8350円,36分,130.7%,779件
49,2700-2749,8312円,36分,130.7%,655件
