,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1600-1649,11876円,100分,115.9%,18件
1,1650-1699,9934円,100分,113.3%,22件
2,1700-1749,11288円,85分,117.7%,26件
3,1750-1799,11883円,95分,116.7%,18件
4,1800-1849,11024円,92分,116%,24件
5,1850-1899,12410円,77分,121.5%,22件
6,1900-1949,11345円,74分,120.6%,23件
7,1950-1999,7759円,66分,115.6%,19件
8,2000-2049,11218円,71分,121%,20件
9,2050-2099,12028円,69分,123.2%,32件
10,2100-2149,12938円,60分,128.8%,26件
11,2150-2199,10108円,59分,122.9%,29件
12,2200-2249,10293円,53分,126%,26件
13,2250-2299,11253円,48分,131.3%,16件
14,2300-2349,11057円,43分,134.5%,25件
15,2350-2399,10485円,36分,139.1%,28件
16,2400-2449,10384円,40分,134.4%,22件
17,2450-2499,8684円,43分,126.8%,31件
18,2500-2549,8303円,45分,124.9%,20件
19,2550-2599,10204円,39分,135%,30件
20,2600-2649,8774円,41分,128.6%,32件
21,2650-2699,11113円,33分,144.3%,31件
22,2700-2749,11649円,32分,149.3%,21件
23,2750-2799,12144円,31分,152.3%,20件
24,2800-2849,12768円,30分,156.6%,18件
25,2850-2899,13628円,25分,171.7%,14件
26,2900-2949,13736円,23分,180.4%,17件
