,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3278円,122分,103.6%,25件
1,950-999,4208円,128分,104.4%,28件
2,1000-1049,2281円,116分,102.6%,34件
3,1050-1099,4082円,124分,104.4%,38件
4,1100-1149,3560円,110分,104.3%,48件
5,1150-1199,5802円,111分,106.9%,39件
6,1200-1249,4216円,115分,104.9%,53件
7,1250-1299,2444円,106分,103.1%,50件
8,1300-1349,4268円,104分,105.5%,48件
9,1350-1399,5452円,102分,107.2%,65件
10,1400-1449,4566円,105分,105.8%,72件
11,1450-1499,5340円,100分,107.1%,74件
12,1500-1549,4964円,103分,106.4%,71件
13,1550-1599,4200円,96分,105.8%,83件
14,1600-1649,4358円,97分,106%,91件
15,1650-1699,5284円,88分,108%,84件
16,1700-1749,5951円,87分,109.1%,74件
17,1750-1799,4585円,90分,106.8%,82件
18,1800-1849,6175円,80分,110.3%,75件
19,1850-1899,5793円,82分,109.4%,82件
20,1900-1949,7100円,75分,112.6%,85件
21,1950-1999,5313円,73分,109.7%,75件
22,2000-2049,6919円,66分,114%,67件
23,2050-2099,8089円,68分,115.9%,83件
24,2100-2149,6930円,62分,115%,61件
25,2150-2199,4864円,60分,110.8%,62件
26,2200-2249,7046円,52分,117.9%,59件
27,2250-2299,9182円,45分,127%,67件
28,2300-2349,6830円,46分,119.8%,43件
29,2350-2399,8445円,41分,127.6%,48件
30,2400-2449,8543円,36分,131.3%,41件
31,2450-2499,7889円,42分,125.3%,38件
32,2500-2549,8466円,37分,130.5%,50件
33,2550-2599,9594円,36分,135.6%,53件
34,2600-2649,9689円,35分,137%,51件
35,2650-2699,9320円,37分,133.4%,39件
36,2700-2749,9896円,33分,139.6%,40件
37,2750-2799,10511円,31分,145.2%,45件
38,2800-2849,10920円,28分,152.7%,41件
39,2850-2899,12089円,25分,164.2%,28件
40,2900-2949,12128円,20分,179.7%,36件
