,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,1626円,112分,101.9%,22件
1,1150-1199,5474円,120分,106.1%,24件
2,1200-1249,4867円,107分,106%,33件
3,1250-1299,8004円,108分,109.9%,30件
4,1300-1349,4731円,107分,105.9%,33件
5,1350-1399,4341円,99分,105.8%,31件
6,1400-1449,6187円,97分,108.5%,41件
7,1450-1499,6131円,93分,108.8%,42件
8,1500-1549,6848円,94分,109.7%,47件
9,1550-1599,7296円,97分,110.1%,55件
10,1600-1649,5234円,95分,107.3%,49件
11,1650-1699,6623円,88分,110.1%,63件
12,1700-1749,5567円,91分,108.2%,60件
13,1750-1799,7570円,82分,112.2%,66件
14,1800-1849,8155円,77分,114.2%,57件
15,1850-1899,6182円,84分,109.8%,55件
16,1900-1949,8418円,74分,115.2%,52件
17,1950-1999,6688円,76分,111.7%,58件
18,2000-2049,7752円,70分,114.8%,58件
19,2050-2099,6752円,66分,113.7%,51件
20,2100-2149,8996円,58分,120.6%,42件
21,2150-2199,9378円,61分,120.6%,58件
22,2200-2249,7022円,53分,117.8%,36件
23,2250-2299,6681円,52分,117.2%,47件
24,2300-2349,9279円,44分,127.9%,48件
25,2350-2399,10061円,37分,135.8%,41件
26,2400-2449,7225円,43分,122.2%,31件
27,2450-2499,10372円,35分,139.7%,33件
28,2500-2549,10016円,32分,142.1%,28件
29,2550-2599,10686円,34分,142.4%,31件
30,2600-2649,10408円,34分,141%,28件
31,2650-2699,11255円,32分,146.9%,38件
32,2700-2749,11372円,29分,152.2%,32件
33,2750-2799,11375円,31分,149.3%,28件
34,2800-2849,11789円,27分,157.4%,26件
35,2850-2899,12381円,25分,166.3%,31件
36,2900-2949,12791円,21分,181.9%,28件
