,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2397円,157分,98%,31952件
1,250-299,-2167円,157分,98.2%,9645件
2,300-349,-1740円,156分,98.5%,5182件
3,350-399,-1734円,153分,98.5%,3489件
4,400-449,-1281円,149分,98.9%,2932件
5,450-499,-1416円,149分,98.7%,2450件
6,500-549,-1060円,148分,99%,2392件
7,550-599,-896円,144分,99.2%,2284件
8,600-649,-942円,144分,99.1%,2246件
9,650-699,-623円,139分,99.4%,2187件
10,700-749,-666円,139分,99.4%,2193件
11,750-799,-677円,136分,99.3%,2145件
12,800-849,-68円,135分,99.9%,2220件
13,850-899,-161円,133分,99.8%,2035件
14,900-949,9円,128分,100%,2257件
15,950-999,443円,127分,100.5%,2348件
16,1000-1049,782円,124分,100.8%,2191件
17,1050-1099,905円,122分,101%,2145件
18,1100-1149,889円,121分,101%,2034件
19,1150-1199,704円,119分,100.8%,2038件
20,1200-1249,1077円,116分,101.2%,1899件
21,1250-1299,1512円,111分,101.8%,1879件
22,1300-1349,1537円,111分,101.9%,1779件
23,1350-1399,1488円,108分,101.8%,1730件
24,1400-1449,2082円,105分,102.7%,1732件
25,1450-1499,1818円,103分,102.4%,1729件
26,1500-1549,2010円,99分,102.7%,1619件
27,1550-1599,2280円,97分,103.1%,1562件
28,1600-1649,2885円,95分,104%,1620件
29,1650-1699,3010円,91分,104.4%,1498件
30,1700-1749,3078円,89分,104.6%,1512件
31,1750-1799,3254円,86分,105%,1508件
32,1800-1849,3047円,85分,104.8%,1416件
33,1850-1899,3715円,81分,106.1%,1354件
34,1900-1949,3589円,77分,106.2%,1405件
35,1950-1999,3834円,73分,107%,1331件
36,2000-2049,3722円,69分,107.2%,1275件
37,2050-2099,4385円,66分,108.9%,1275件
38,2100-2149,4879円,63分,110.4%,1230件
39,2150-2199,4636円,59分,110.4%,1191件
40,2200-2249,4873円,57分,111.5%,1193件
41,2250-2299,5141円,53分,112.9%,1180件
42,2300-2349,5438円,50分,114.6%,1143件
43,2350-2399,5497円,47分,115.4%,1047件
44,2400-2449,6282円,44分,119.1%,1064件
45,2450-2499,6252円,44分,119.1%,1024件
46,2500-2549,6648円,42分,120.9%,986件
47,2550-2599,7077円,40分,123.6%,1018件
48,2600-2649,7658円,38分,126.5%,949件
49,2650-2699,7789円,38分,127.2%,808件
