,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,5円,148分,100%,1644件
1,450-499,-618円,150分,99.5%,2079件
2,500-549,-339円,147分,99.7%,1887件
3,550-599,104円,144分,100.1%,1736件
4,600-649,405円,142分,100.4%,1525件
5,650-699,93円,142分,100.1%,1344件
6,700-749,241円,140分,100.2%,1288件
7,750-799,769円,134分,100.8%,1239件
8,800-849,318円,138分,100.3%,1097件
9,850-899,1084円,134分,101.1%,1078件
10,900-949,1580円,129分,101.6%,951件
11,950-999,1933円,127分,102%,929件
12,1000-1049,1164円,125分,101.2%,1661件
13,1050-1099,1037円,124分,101.1%,945件
14,1100-1149,1927円,120分,102.1%,1007件
15,1150-1199,1680円,119分,101.9%,846件
16,1200-1249,2177円,116分,102.5%,781件
17,1250-1299,2014円,113分,102.4%,747件
18,1300-1349,2608円,111分,103.1%,771件
19,1350-1399,2297円,109分,102.8%,670件
20,1400-1449,2958円,105分,103.7%,673件
21,1450-1499,3698円,103分,104.8%,620件
22,1500-1549,2972円,101分,103.9%,628件
23,1550-1599,3457円,98分,104.7%,670件
24,1600-1649,3456円,94分,104.9%,609件
25,1650-1699,3569円,92分,105.2%,614件
26,1700-1749,4270円,88分,106.5%,588件
27,1750-1799,4763円,86分,107.4%,564件
28,1800-1849,4223円,85分,106.6%,504件
29,1850-1899,4850円,80分,108.1%,551件
30,1900-1949,5518円,79分,109.3%,515件
31,1950-1999,4926円,73分,109%,505件
32,2000-2049,5132円,71分,109.7%,457件
33,2050-2099,5192円,66分,110.5%,463件
34,2100-2149,5984円,61分,113%,470件
35,2150-2199,6250円,58分,114.4%,460件
36,2200-2249,5385円,54分,113.2%,465件
37,2250-2299,6179円,52分,115.9%,439件
38,2300-2349,6308円,50分,116.9%,429件
39,2350-2399,6844円,46分,120%,444件
40,2400-2449,6499円,44分,119.5%,370件
41,2450-2499,7119円,42分,122.4%,429件
42,2500-2549,7517円,42分,123.7%,376件
43,2550-2599,8173円,39分,127.6%,379件
44,2600-2649,8482円,39分,128.9%,334件
45,2650-2699,8463円,37分,130.9%,367件
46,2700-2749,9288円,35分,135.8%,306件
47,2750-2799,10398円,31分,144.3%,325件
48,2800-2849,11100円,28分,152.8%,310件
49,2850-2899,11990円,26分,161.1%,278件
50,2900-2949,13142円,23分,175.4%,183件
