,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,185円,155分,100.2%,3489件
1,400-449,602円,151分,100.5%,2932件
2,450-499,463円,151分,100.4%,2450件
3,500-549,826円,150分,100.7%,2392件
4,550-599,939円,146分,100.9%,2284件
5,600-649,890円,146分,100.8%,2246件
6,650-699,1153円,141分,101.1%,2187件
7,700-749,1098円,140分,101%,2193件
8,750-799,1056円,138分,101%,2145件
9,800-849,1670円,136分,101.6%,2220件
10,850-899,1546円,134分,101.5%,2035件
11,900-949,1667円,130分,101.7%,2257件
12,950-999,2095円,128分,102.2%,2348件
13,1000-1049,2412円,126分,102.6%,2191件
14,1050-1099,2506円,124分,102.7%,2145件
15,1100-1149,2480円,123分,102.7%,2034件
16,1150-1199,2258円,120分,102.5%,2038件
17,1200-1249,2596円,117分,103%,1899件
18,1250-1299,2977円,112分,103.5%,1879件
19,1300-1349,3003円,112分,103.6%,1779件
20,1350-1399,2916円,109分,103.6%,1730件
21,1400-1449,3487円,106分,104.4%,1732件
22,1450-1499,3175円,104分,104.1%,1729件
23,1500-1549,3322円,100分,104.4%,1619件
24,1550-1599,3588円,98分,104.9%,1562件
25,1600-1649,4179円,96分,105.8%,1620件
26,1650-1699,4247円,92分,106.2%,1498件
27,1700-1749,4294円,90分,106.4%,1512件
28,1750-1799,4440円,88分,106.8%,1508件
29,1800-1849,4193円,86分,106.5%,1416件
30,1850-1899,4833円,82分,107.9%,1354件
31,1900-1949,4643円,78分,108%,1405件
32,1950-1999,4838円,74分,108.8%,1331件
33,2000-2049,4665円,70分,108.9%,1275件
34,2050-2099,5307円,67分,110.6%,1275件
35,2100-2149,5776円,64分,112.1%,1230件
36,2150-2199,5481円,60分,112.1%,1191件
37,2200-2249,5682円,57分,113.2%,1193件
38,2250-2299,5910円,54分,114.6%,1180件
39,2300-2349,6173円,50分,116.3%,1143件
40,2350-2399,6194円,48分,117.2%,1047件
41,2400-2449,6962円,44分,120.9%,1064件
42,2450-2499,6931円,44分,120.9%,1024件
43,2500-2549,7302円,43分,122.6%,986件
44,2550-2599,7731円,41分,125.4%,1018件
45,2600-2649,8312円,39分,128.4%,949件
46,2650-2699,8443円,39分,129.1%,808件
