,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,682円,147分,100.6%,377件
1,450-499,-583円,149分,99.5%,604件
2,500-549,-809円,148分,99.3%,706件
3,550-599,385円,141分,100.4%,767件
4,600-649,-44円,142分,100%,757件
5,650-699,156円,139分,100.2%,794件
6,700-749,299円,138分,100.3%,797件
7,750-799,65円,138分,100.1%,810件
8,800-849,463円,135分,100.5%,820件
9,850-899,520円,132分,100.5%,793件
10,900-949,1399円,129分,101.4%,756件
11,950-999,410円,129分,100.4%,903件
12,1000-1049,1213円,123分,101.3%,896件
13,1050-1099,1047円,123分,101.1%,944件
14,1100-1149,1638円,120分,101.8%,805件
15,1150-1199,1644円,115分,101.9%,809件
16,1200-1249,1605円,117分,101.8%,736件
17,1250-1299,2267円,113分,102.7%,713件
18,1300-1349,2360円,113分,102.8%,628件
19,1350-1399,1748円,108分,102.2%,578件
20,1400-1449,2255円,104分,102.9%,586件
21,1450-1499,3131円,103分,104.1%,537件
22,1500-1549,2296円,101分,103%,507件
23,1550-1599,3028円,98分,104.1%,556件
24,1600-1649,3221円,93分,104.6%,532件
25,1650-1699,3241円,91分,104.7%,526件
26,1700-1749,4002円,90分,106%,430件
27,1750-1799,3942円,86分,106.1%,447件
28,1800-1849,4398円,83分,107.1%,442件
29,1850-1899,4146円,80分,106.9%,432件
30,1900-1949,4076円,76分,107.2%,423件
31,1950-1999,4895円,72分,109.1%,392件
32,2000-2049,4889円,70分,109.3%,376件
33,2050-2099,4634円,65分,109.5%,377件
34,2100-2149,4941円,63分,110.5%,355件
35,2150-2199,5091円,58分,111.7%,351件
36,2200-2249,5659円,56分,113.5%,329件
37,2250-2299,5464円,53分,113.8%,320件
38,2300-2349,6166円,48分,117.1%,318件
39,2350-2399,6518円,46分,118.9%,312件
40,2400-2449,6802円,45分,120%,276件
41,2450-2499,6773円,44分,120.5%,269件
42,2500-2549,6875円,42分,121.6%,264件
43,2550-2599,8031円,40分,127%,286件
44,2600-2649,7932円,39分,127.3%,241件
45,2650-2699,8987円,36分,133.4%,232件
46,2700-2749,9470円,34分,137.2%,269件
47,2750-2799,10263円,31分,143.5%,236件
48,2800-2849,10796円,28分,151.3%,250件
49,2850-2899,11927円,26分,162.2%,210件
50,2900-2949,12597円,22分,176.7%,197件
