,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,4574円,131分,104.6%,37件
1,950-999,6972円,120分,107.8%,41件
2,1000-1049,6721円,106分,108.5%,49件
3,1050-1099,3861円,117分,104.4%,70件
4,1100-1149,4696円,120分,105.2%,67件
5,1150-1199,5653円,117分,106.5%,75件
6,1200-1249,4532円,112分,105.4%,82件
7,1250-1299,3805円,115分,104.4%,92件
8,1300-1349,6858円,111分,108.2%,86件
9,1350-1399,7127円,104分,109.1%,97件
10,1400-1449,5630円,105分,107.1%,104件
11,1450-1499,4228円,102分,105.5%,125件
12,1500-1549,7052円,99分,109.5%,123件
13,1550-1599,7049円,100分,109.4%,125件
14,1600-1649,7020円,91分,110.3%,132件
15,1650-1699,8252円,83分,113.2%,129件
16,1700-1749,7634円,84分,112.1%,104件
17,1750-1799,8237円,85分,112.9%,107件
18,1800-1849,8296円,79分,114%,97件
19,1850-1899,7155円,75分,112.7%,107件
20,1900-1949,7652円,77分,113.3%,92件
21,1950-1999,8044円,68分,115.8%,89件
22,2000-2049,7427円,68分,114.6%,81件
23,2050-2099,7823円,66分,115.8%,97件
24,2100-2149,8424円,61分,118.4%,85件
25,2150-2199,10444円,56分,124.7%,67件
26,2200-2249,10144円,58分,123.3%,77件
27,2250-2299,9059円,50分,124%,62件
28,2300-2349,11545円,44分,134.9%,55件
29,2350-2399,8541円,44分,126.2%,54件
30,2400-2449,9083円,39分,131.4%,41件
31,2450-2499,8838円,37分,131.7%,64件
32,2500-2549,11122円,31分,147.2%,64件
33,2550-2599,10616円,32分,144.3%,53件
34,2600-2649,10982円,34分,142.7%,52件
35,2650-2699,11138円,34分,143.8%,44件
36,2700-2749,12359円,29分,156%,46件
37,2750-2799,11910円,29分,155.5%,47件
38,2800-2849,13435円,28分,163.9%,37件
39,2850-2899,13649円,24分,175.9%,48件
40,2900-2949,13455円,20分,187.6%,40件
