,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,6721円,120分,107.5%,21件
1,1000-1049,7912円,122分,108.6%,23件
2,1050-1099,3905円,114分,104.6%,28件
3,1100-1149,7066円,125分,107.6%,32件
4,1150-1199,5935円,109分,107.3%,41件
5,1200-1249,8716円,107分,110.9%,33件
6,1250-1299,6868円,110分,108.3%,43件
7,1300-1349,3860円,106分,104.9%,38件
8,1350-1399,7205円,101分,109.5%,46件
9,1400-1449,6808円,98分,109.3%,48件
10,1450-1499,7710円,100分,110.3%,64件
11,1500-1549,7595円,102分,109.9%,63件
12,1550-1599,7008円,101分,109.3%,60件
13,1600-1649,6791円,93分,109.8%,73件
14,1650-1699,6636円,93分,109.5%,75件
15,1700-1749,7992円,86分,112.4%,72件
16,1750-1799,8190円,83分,113.2%,62件
17,1800-1849,7110円,89分,110.7%,64件
18,1850-1899,8458円,78分,114.5%,57件
19,1900-1949,7422円,81分,112.3%,69件
20,1950-1999,8873円,73分,116.2%,70件
21,2000-2049,7544円,69分,114.6%,61件
22,2050-2099,8904円,64分,118.5%,53件
23,2100-2149,9867円,67分,119.7%,68件
24,2150-2199,7707円,59分,117.4%,48件
25,2200-2249,6551円,57分,115.2%,53件
26,2250-2299,8869円,50分,123.8%,52件
27,2300-2349,10753円,41分,135%,53件
28,2350-2399,7947円,43分,124.7%,38件
29,2400-2449,9527円,40分,132.1%,40件
30,2450-2499,10250円,35分,138.8%,35件
31,2500-2549,9914円,39分,133.5%,34件
32,2550-2599,10399円,34分,140.7%,43件
33,2600-2649,10961円,35分,141.8%,44件
34,2650-2699,11351円,33分,145.3%,43件
35,2700-2749,11012円,35分,141.6%,29件
36,2750-2799,11775円,31分,150.5%,33件
37,2800-2849,12234円,29分,156.7%,38件
38,2850-2899,12658円,25分,167%,33件
39,2900-2949,13377円,22分,181.5%,19件
