,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,5288円,131分,105.4%,868件
1,950-999,4938円,129分,105.1%,845件
2,1000-1049,5471円,127分,105.8%,917件
3,1050-1099,6145円,127分,106.5%,903件
4,1100-1149,5534円,122分,106%,795件
5,1150-1199,5546円,118分,106.3%,949件
6,1200-1249,5869円,116分,106.7%,919件
7,1250-1299,6045円,115分,107%,861件
8,1300-1349,6900円,111分,108.3%,869件
9,1350-1399,7164円,110分,108.7%,826件
10,1400-1449,6556円,108分,108.1%,866件
11,1450-1499,6694円,104分,108.6%,790件
12,1500-1549,6418円,99分,108.7%,726件
13,1550-1599,7319円,100分,109.8%,706件
14,1600-1649,6329円,95分,108.9%,715件
15,1650-1699,7075円,93分,110.1%,699件
16,1700-1749,6956円,90分,110.4%,712件
17,1750-1799,7420円,86分,111.5%,645件
18,1800-1849,7887円,84分,112.6%,602件
19,1850-1899,7961円,82分,113%,633件
20,1900-1949,8096円,80分,113.5%,594件
21,1950-1999,7849円,75分,113.9%,590件
22,2000-2049,8099円,74分,114.7%,603件
23,2050-2099,8583円,70分,116.5%,605件
24,2100-2149,8864円,66分,118%,529件
25,2150-2199,8639円,60分,119.2%,561件
26,2200-2249,8062円,54分,119.8%,523件
27,2250-2299,8501円,49分,123.1%,510件
28,2300-2349,8864円,47分,125.2%,493件
29,2350-2399,8651円,45分,125.8%,477件
30,2400-2449,8724円,43分,127.3%,475件
31,2450-2499,8977円,42分,128.6%,483件
32,2500-2549,9725円,39分,133.2%,447件
33,2550-2599,9976円,39分,134.5%,447件
34,2600-2649,10084円,38分,135.3%,436件
35,2650-2699,10540円,37分,138.2%,401件
36,2700-2749,11539円,34分,145.8%,418件
37,2750-2799,11739円,32分,149.6%,395件
38,2800-2849,12197円,28分,157.1%,382件
39,2850-2899,13126円,27分,166%,357件
40,2900-2949,13030円,27分,164.1%,319件
