,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2691円,157分,97.7%,31952件
1,250-299,-2458円,157分,97.9%,9645件
2,300-349,-2030円,156分,98.3%,5182件
3,350-399,-2018円,153分,98.2%,3489件
4,400-449,-1559円,149分,98.6%,2932件
5,450-499,-1694円,149分,98.5%,2450件
6,500-549,-1339円,148分,98.8%,2392件
7,550-599,-1168円,144分,98.9%,2284件
8,600-649,-1213円,144分,98.9%,2246件
9,650-699,-886円,139分,99.2%,2187件
10,700-749,-927円,138分,99.1%,2193件
11,750-799,-933円,136分,99.1%,2145件
12,800-849,-324円,134分,99.7%,2220件
13,850-899,-413円,132分,99.6%,2035件
14,900-949,-236円,128分,99.8%,2257件
15,950-999,199円,127分,100.2%,2348件
16,1000-1049,540円,124分,100.6%,2191件
17,1050-1099,669円,122分,100.7%,2145件
18,1100-1149,654円,121分,100.7%,2034件
19,1150-1199,474円,119分,100.5%,2038件
20,1200-1249,852円,115分,101%,1899件
21,1250-1299,1295円,111分,101.6%,1879件
22,1300-1349,1320円,111分,101.6%,1779件
23,1350-1399,1277円,108分,101.6%,1730件
24,1400-1449,1875円,104分,102.4%,1732件
25,1450-1499,1617円,102分,102.1%,1729件
26,1500-1549,1816円,99分,102.5%,1619件
27,1550-1599,2086円,97分,102.9%,1562件
28,1600-1649,2693円,95分,103.8%,1620件
29,1650-1699,2828円,91分,104.2%,1498件
30,1700-1749,2898円,89分,104.4%,1512件
31,1750-1799,3078円,86分,104.8%,1508件
32,1800-1849,2878円,84分,104.5%,1416件
33,1850-1899,3550円,81分,105.9%,1354件
34,1900-1949,3433円,76分,106%,1405件
35,1950-1999,3685円,73分,106.8%,1331件
36,2000-2049,3582円,69分,107%,1275件
37,2050-2099,4249円,66分,108.6%,1275件
38,2100-2149,4746円,63分,110.1%,1230件
39,2150-2199,4511円,59分,110.1%,1191件
40,2200-2249,4753円,56分,111.2%,1193件
41,2250-2299,5028円,53分,112.6%,1180件
42,2300-2349,5329円,50分,114.3%,1143件
43,2350-2399,5394円,47分,115.2%,1047件
44,2400-2449,6182円,44分,118.8%,1064件
45,2450-2499,6151円,44分,118.8%,1024件
46,2500-2549,6648円,42分,120.9%,986件
47,2550-2599,7077円,40分,123.6%,1018件
48,2600-2649,7658円,38分,126.5%,949件
49,2650-2699,7789円,38分,127.2%,808件
