,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,5464円,121分,106%,617件
1,1150-1199,5559円,121分,106.1%,666件
2,1200-1249,6407円,119分,107.2%,554件
3,1250-1299,5807円,113分,106.8%,571件
4,1300-1349,6201円,115分,107.2%,508件
5,1350-1399,6089円,111分,107.3%,487件
6,1400-1449,6345円,110分,107.7%,413件
7,1450-1499,5932円,104分,107.6%,400件
8,1500-1549,6650円,102分,108.7%,416件
9,1550-1599,6793円,99分,109.1%,346件
10,1600-1649,6565円,98分,109%,366件
11,1650-1699,7047円,94分,110%,393件
12,1700-1749,7130円,89分,110.7%,373件
13,1750-1799,7179円,89分,110.8%,374件
14,1800-1849,7410円,85分,111.7%,286件
15,1850-1899,7486円,81分,112.2%,307件
16,1900-1949,7933円,78分,113.5%,292件
17,1950-1999,8329円,74分,114.9%,302件
18,2000-2049,7194円,71分,113.5%,292件
19,2050-2099,8010円,68分,115.7%,267件
20,2100-2149,7874円,64分,116.5%,273件
21,2150-2199,7817円,58分,117.8%,273件
22,2200-2249,7735円,56分,118.5%,246件
23,2250-2299,8272円,50分,122%,243件
24,2300-2349,8505円,50分,122.6%,235件
25,2350-2399,7969円,47分,122.8%,220件
26,2400-2449,8887円,43分,127.3%,204件
27,2450-2499,8955円,44分,126.9%,208件
28,2500-2549,9555円,43分,129.4%,195件
29,2550-2599,9862円,42分,131.5%,188件
30,2600-2649,9936円,39分,133.6%,192件
31,2650-2699,10587円,38分,137.3%,192件
32,2700-2749,11129円,35分,142.5%,176件
33,2750-2799,11932円,33分,148.6%,154件
34,2800-2849,12619円,30分,156.1%,187件
35,2850-2899,13551円,27分,167%,162件
36,2900-2949,14304円,23分,183.6%,156件
