,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,3818円,134分,103.8%,50件
1,900-949,5414円,127分,105.7%,47件
2,950-999,4940円,112分,105.9%,57件
3,1000-1049,2803円,121分,103.1%,87件
4,1050-1099,3608円,121分,104%,79件
5,1100-1149,4937円,119分,105.5%,83件
6,1150-1199,4538円,114分,105.3%,102件
7,1200-1249,2761円,119分,103.1%,103件
8,1250-1299,5460円,114分,106.4%,111件
9,1300-1349,6590円,109分,108.1%,125件
10,1350-1399,4831円,108分,106%,124件
11,1400-1449,3440円,104分,104.4%,150件
12,1450-1499,6048円,100分,108.1%,139件
13,1500-1549,5930円,103分,107.6%,151件
14,1550-1599,6097円,94分,108.7%,149件
15,1600-1649,7253円,88分,111%,155件
16,1650-1699,6736円,88分,110.2%,128件
17,1700-1749,6974円,89分,110.4%,131件
18,1750-1799,7333円,82分,111.9%,118件
19,1800-1849,6231円,80分,110.3%,126件
20,1850-1899,6687円,81分,110.9%,107件
21,1900-1949,6701円,71分,112.6%,105件
22,1950-1999,7120円,72分,113.2%,99件
23,2000-2049,7028円,69分,113.5%,111件
24,2050-2099,7549円,65分,115.6%,95件
25,2100-2149,9337円,59分,121%,79件
26,2150-2199,9259円,62分,120%,92件
27,2200-2249,8192円,56分,119.7%,76件
28,2250-2299,10516円,48分,128.9%,63件
29,2300-2349,7507円,48分,120.7%,62件
30,2350-2399,7556円,43分,123.5%,53件
31,2400-2449,7549円,40分,124.9%,73件
32,2450-2499,10151円,34分,139.9%,74件
33,2500-2549,9940円,34分,138.9%,67件
34,2550-2599,9674円,38分,133.8%,58件
35,2600-2649,9790円,37分,134.8%,50件
36,2650-2699,11497円,33分,146.8%,55件
37,2700-2749,10841円,31分,146%,56件
38,2750-2799,12333円,30分,155.1%,47件
39,2800-2849,12129円,27分,159.4%,57件
40,2850-2899,12529円,24分,169.8%,49件
41,2900-2949,12405円,22分,175.3%,36件
