,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,-89円,147分,99.9%,118件
1,550-599,1686円,140分,101.6%,199件
2,600-649,924円,143分,100.9%,342件
3,650-699,875円,140分,100.8%,429件
4,700-749,2122円,133分,102.1%,451件
5,750-799,1363円,133分,101.4%,432件
6,800-849,1309円,133分,101.3%,455件
7,850-899,1859円,129分,101.9%,459件
8,900-949,1666円,131分,101.7%,476件
9,950-999,2460円,125分,102.6%,476件
10,1000-1049,1902円,125分,102%,444件
11,1050-1099,3191円,120分,103.5%,444件
12,1100-1149,2519円,121分,102.8%,543件
13,1150-1199,2832円,116分,103.3%,521件
14,1200-1249,2651円,114分,103.1%,558件
15,1250-1299,3440円,112分,104.1%,444件
16,1300-1349,2801円,107分,103.5%,467件
17,1350-1399,3364円,109分,104.1%,402件
18,1400-1449,3381円,104分,104.3%,405件
19,1450-1499,3477円,103分,104.5%,336件
20,1500-1549,3576円,97分,104.9%,329件
21,1550-1599,4524円,96分,106.3%,345件
22,1600-1649,4628円,92分,106.7%,290件
23,1650-1699,4378円,92分,106.4%,304件
24,1700-1749,4909円,88分,107.5%,324件
25,1750-1799,4711円,84分,107.5%,320件
26,1800-1849,4847円,84分,107.7%,314件
27,1850-1899,5177円,79分,108.7%,240件
28,1900-1949,5386円,76分,109.5%,255件
29,1950-1999,6126円,72分,111.3%,251件
30,2000-2049,6727円,69分,112.9%,254件
31,2050-2099,5669円,66分,111.4%,242件
32,2100-2149,6383円,63分,113.5%,230件
33,2150-2199,6609円,58分,115.3%,227件
34,2200-2249,6537円,52分,116.7%,232件
35,2250-2299,6733円,49分,118.4%,207件
36,2300-2349,7400円,45分,122.1%,203件
37,2350-2399,7266円,44分,121.8%,187件
38,2400-2449,7349円,42分,123.5%,187件
39,2450-2499,8383円,40分,128.2%,171件
40,2500-2549,8306円,41分,127.3%,177件
41,2550-2599,9037円,39分,130.6%,159件
42,2600-2649,9183円,38分,132.1%,164件
43,2650-2699,9360円,36分,135.2%,157件
44,2700-2749,9849円,34分,138.7%,158件
45,2750-2799,10507円,31分,144.5%,136件
46,2800-2849,11357円,29分,152.7%,125件
47,2850-2899,12157円,26分,162.6%,157件
48,2900-2949,12986円,22分,178.3%,128件
