,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,3441円,133分,103.4%,23件
1,1000-1049,3594円,128分,103.8%,32件
2,1050-1099,3018円,122分,103.3%,41件
3,1100-1149,4361円,128分,104.6%,33件
4,1150-1199,4281円,123分,104.6%,66件
5,1200-1249,5254円,110分,106.4%,59件
6,1250-1299,4885円,110分,105.9%,65件
7,1300-1349,3720円,109分,104.6%,67件
8,1350-1399,4992円,104分,106.4%,83件
9,1400-1449,6049円,102分,107.9%,75件
10,1450-1499,4854円,104分,106.2%,73件
11,1500-1549,4609円,96分,106.4%,83件
12,1550-1599,4779円,95分,106.7%,78件
13,1600-1649,5276円,96分,107.3%,86件
14,1650-1699,5913円,89分,108.8%,73件
15,1700-1749,4492円,85分,107%,90件
16,1750-1799,5298円,86分,108.2%,81件
17,1800-1849,6367円,79分,110.7%,84件
18,1850-1899,6124円,76分,110.7%,96件
19,1900-1949,6811円,76分,111.9%,97件
20,1950-1999,4478円,72分,108.3%,79件
21,2000-2049,7045円,68分,113.7%,106件
22,2050-2099,7059円,66分,114.2%,112件
23,2100-2149,5324円,61分,111.6%,87件
24,2150-2199,6805円,58分,115.5%,90件
25,2200-2249,6072円,57分,114.1%,80件
26,2250-2299,5571円,53分,114%,85件
27,2300-2349,7282円,51分,119.1%,65件
28,2350-2399,6373円,46分,118.6%,71件
29,2400-2449,4927円,49分,113.3%,63件
30,2450-2499,7419円,41分,123.9%,61件
31,2500-2549,9375円,35分,136.1%,43件
32,2550-2599,8577円,39分,129.7%,49件
33,2600-2649,8044円,38分,128.4%,41件
34,2650-2699,8853円,36分,133.1%,49件
35,2700-2749,9675円,34分,137.6%,61件
36,2750-2799,11062円,31分,148.2%,42件
37,2800-2849,11465円,28分,155%,33件
38,2850-2899,12929円,26分,165.6%,48件
39,2900-2949,13782円,23分,178.5%,44件
