,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,861円,144分,100.8%,92件
1,700-749,834円,139分,100.8%,103件
2,750-799,956円,131分,101%,131件
3,800-849,-16円,133分,100%,165件
4,850-899,1714円,130分,101.8%,172件
5,900-949,1184円,128分,101.2%,191件
6,950-999,1420円,124分,101.5%,223件
7,1000-1049,917円,127分,101%,233件
8,1050-1099,2040円,125分,102.2%,226件
9,1100-1149,2844円,118分,103.2%,259件
10,1150-1199,889円,122分,101%,261件
11,1200-1249,1172円,116分,101.3%,302件
12,1250-1299,2903円,113分,103.4%,293件
13,1300-1349,2961円,115分,103.4%,295件
14,1350-1399,3045円,106分,103.8%,289件
15,1400-1449,3651円,100分,104.9%,283件
16,1450-1499,3146円,101分,104.2%,275件
17,1500-1549,3547円,100分,104.8%,280件
18,1550-1599,3543円,96分,104.9%,237件
19,1600-1649,2683円,94分,103.8%,223件
20,1650-1699,3543円,92分,105.1%,233件
21,1700-1749,4338円,86分,106.7%,238件
22,1750-1799,4255円,84分,106.7%,208件
23,1800-1849,4047円,83分,106.5%,221件
24,1850-1899,5135円,80分,108.5%,229件
25,1900-1949,4979円,74分,109%,185件
26,1950-1999,5404円,76分,109.5%,175件
27,2000-2049,4913円,70分,109.4%,177件
28,2050-2099,6925円,64分,114.3%,160件
29,2100-2149,4284円,64分,108.9%,145件
30,2150-2199,6749円,58分,115.4%,131件
31,2200-2249,5278円,54分,113.1%,146件
32,2250-2299,6239円,49分,116.8%,162件
33,2300-2349,7220円,45分,121.6%,137件
34,2350-2399,6647円,45分,119.6%,128件
35,2400-2449,6477円,46分,118.9%,114件
36,2450-2499,7922円,41分,125.8%,118件
37,2500-2549,7584円,42分,124.3%,119件
38,2550-2599,8326円,39分,128.5%,105件
39,2600-2649,8597円,39分,129.7%,107件
40,2650-2699,8728円,37分,131.5%,100件
41,2700-2749,9152円,33分,136.7%,94件
42,2750-2799,10530円,32分,144.5%,125件
43,2800-2849,11197円,28分,153.8%,108件
44,2850-2899,11539円,25分,161.1%,83件
45,2900-2949,13608円,22分,182.5%,79件
