,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,4948円,115分,105.7%,1304件
1,1350-1399,5016円,111分,106%,1291件
2,1400-1449,4968円,109分,106.1%,1262件
3,1450-1499,4966円,106分,106.2%,1265件
4,1500-1549,5769円,103分,107.5%,1203件
5,1550-1599,5761円,100分,107.7%,1196件
6,1600-1649,5927円,98分,108.1%,1086件
7,1650-1699,5886円,94分,108.3%,1111件
8,1700-1749,5999円,93分,108.6%,1040件
9,1750-1799,5574円,89分,108.3%,1045件
10,1800-1849,5997円,86分,109.3%,973件
11,1850-1899,6298円,82分,110.2%,1013件
12,1900-1949,6075円,78分,110.3%,963件
13,1950-1999,6354円,75分,111.2%,934件
14,2000-2049,6078円,71分,111.5%,952件
15,2050-2099,6439円,69分,112.5%,892件
16,2100-2149,6428円,66分,112.9%,895件
17,2150-2199,6904円,63分,114.7%,909件
18,2200-2249,6881円,59分,115.5%,800件
19,2250-2299,6420円,56分,115.4%,799件
20,2300-2349,6972円,53分,117.6%,786件
21,2350-2399,7446円,49分,120.3%,791件
22,2400-2449,7838円,48分,122%,730件
23,2450-2499,7654円,46分,122.3%,755件
24,2500-2549,8607円,44分,126.3%,696件
25,2550-2599,9080円,43分,128.3%,679件
26,2600-2649,9463円,41分,131%,634件
27,2650-2699,10039円,39分,134.2%,574件
28,2700-2749,10955円,36分,140.9%,479件
29,2750-2799,11698円,33分,147.4%,412件
30,2800-2849,12269円,30分,154.8%,329件
31,2850-2899,13609円,27分,167.1%,242件
32,2900-2949,14487円,23分,183.1%,188件
