,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-27円,154分,100%,3363件
1,450-499,181円,153分,100.2%,3154件
2,500-549,495円,149分,100.4%,3037件
3,550-599,222円,148分,100.2%,2669件
4,600-649,605円,146分,100.6%,2600件
5,650-699,1165円,142分,101.1%,2447件
6,700-749,1408円,141分,101.3%,2316件
7,750-799,1167円,138分,101.1%,4201件
8,800-849,1271円,137分,101.2%,2416件
9,850-899,1166円,135分,101.2%,2444件
10,900-949,1414円,133分,101.4%,2042件
11,950-999,1817円,130分,101.9%,1885件
12,1000-1049,1843円,127分,101.9%,1837件
13,1050-1099,1538円,126分,101.6%,1777件
14,1100-1149,1691円,123分,101.8%,1672件
15,1150-1199,2300円,119分,102.6%,1710件
16,1200-1249,2970円,118分,103.4%,1539件
17,1250-1299,2367円,116分,102.7%,1573件
18,1300-1349,2963円,112分,103.5%,1592件
19,1350-1399,2434円,110分,103%,1507件
20,1400-1449,2840円,108分,103.5%,1543件
21,1450-1499,3498円,104分,104.5%,1458件
22,1500-1549,3499円,101分,104.6%,1454件
23,1550-1599,3687円,99分,105%,1335件
24,1600-1649,3756円,95分,105.3%,1347件
25,1650-1699,4057円,94分,105.7%,1269件
26,1700-1749,3586円,91分,105.3%,1261件
27,1750-1799,4096円,87分,106.3%,1192件
28,1800-1849,4325円,84分,106.9%,1204件
29,1850-1899,4242円,81分,107%,1177件
30,1900-1949,4446円,78分,107.6%,1119件
31,1950-1999,4390円,73分,108%,1143件
32,2000-2049,4873円,71分,109.2%,1100件
33,2050-2099,4796円,68分,109.4%,1087件
34,2100-2149,5399円,65分,111.1%,1076件
35,2150-2199,5354円,62分,111.5%,988件
36,2200-2249,5160円,58分,111.8%,970件
37,2250-2299,5638円,56分,113.4%,960件
38,2300-2349,6068円,51分,115.9%,968件
39,2350-2399,6224円,49分,117%,885件
40,2400-2449,6398円,46分,118.5%,938件
41,2450-2499,7061円,45分,121.1%,844件
42,2500-2549,7445円,44分,122.7%,826件
43,2550-2599,7927円,42分,125.4%,786件
44,2600-2649,8500円,40分,128.2%,700件
45,2650-2699,9206円,37分,132.9%,584件
46,2700-2749,9878円,35分,137.8%,514件
47,2750-2799,10553円,32分,144.3%,397件
48,2800-2849,11596円,29分,153.2%,300件
49,2850-2899,12513円,26分,165%,266件
50,2900-2949,13581円,23分,177.9%,182件
