,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,2398円,136分,102.3%,60件
1,850-899,4491円,125分,104.8%,54件
2,900-949,3259円,117分,103.7%,66件
3,950-999,1508円,125分,101.6%,98件
4,1000-1049,2909円,125分,103.1%,105件
5,1050-1099,3662円,122分,104%,99件
6,1100-1149,2724円,120分,103%,128件
7,1150-1199,1958円,121分,102.2%,124件
8,1200-1249,4505円,116分,105.2%,136件
9,1250-1299,5076円,113分,106%,145件
10,1300-1349,3516円,111分,104.2%,154件
11,1350-1399,2854円,107分,103.5%,178件
12,1400-1449,4873円,103分,106.3%,171件
13,1450-1499,4915円,106分,106.2%,174件
14,1500-1549,4991円,97分,106.8%,172件
15,1550-1599,6011円,90分,108.9%,179件
16,1600-1649,5909円,91分,108.7%,157件
17,1650-1699,5855円,93分,108.4%,163件
18,1700-1749,5863円,86分,109.1%,142件
19,1750-1799,5045円,83分,108.1%,146件
20,1800-1849,5636円,84分,109%,135件
21,1850-1899,5782円,75分,110.2%,127件
22,1900-1949,5689円,75分,110.1%,117件
23,1950-1999,6125円,72分,111.4%,129件
24,2000-2049,6705円,69分,113%,120件
25,2050-2099,7034円,64分,114.6%,98件
26,2100-2149,7877円,66分,116%,109件
27,2150-2199,7032円,59分,116%,95件
28,2200-2249,8945円,52分,122.9%,82件
29,2250-2299,6407円,52分,116.5%,79件
30,2300-2349,7461円,45分,121.9%,71件
31,2350-2399,6614円,44分,120.3%,91件
32,2400-2449,8645円,39分,129.8%,96件
33,2450-2499,8975円,36分,132.9%,78件
34,2500-2549,8552円,41分,127.8%,66件
35,2550-2599,9117円,40分,130.7%,66件
36,2600-2649,10703円,35分,141%,69件
37,2650-2699,10063円,34分,139.9%,70件
38,2700-2749,10879円,33分,144%,61件
39,2750-2799,10892円,30分,147.7%,65件
40,2800-2849,11402円,28分,155%,56件
41,2850-2899,11263円,24分,161.6%,52件
42,2900-2949,13744円,23分,179.7%,64件
