,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1250-1299,6595円,119分,107.4%,351件
1,1300-1349,6071円,112分,107.2%,342件
2,1350-1399,6793円,106分,108.6%,343件
3,1400-1449,6344円,107分,107.9%,330件
4,1450-1499,6538円,106分,108.2%,334件
5,1500-1549,6394円,103分,108.3%,283件
6,1550-1599,5580円,101分,107.4%,273件
7,1600-1649,6288円,98分,108.6%,274件
8,1650-1699,6795円,93分,109.7%,286件
9,1700-1749,6698円,91分,109.9%,249件
10,1750-1799,6105円,89分,109.2%,255件
11,1800-1849,7039円,87分,110.7%,263件
12,1850-1899,7231円,80分,112%,223件
13,1900-1949,7800円,82分,112.7%,199件
14,1950-1999,7407円,74分,113.3%,216件
15,2000-2049,8649円,71分,116.3%,197件
16,2050-2099,6093円,70分,111.7%,173件
17,2100-2149,8228円,64分,117.3%,162件
18,2150-2199,7121円,60分,115.9%,179件
19,2200-2249,7462円,56分,117.8%,184件
20,2250-2299,8606円,50分,122.8%,164件
21,2300-2349,8292円,50分,122%,157件
22,2350-2399,7480円,48分,120.6%,143件
23,2400-2449,9096円,44分,127.7%,140件
24,2450-2499,8195円,46分,123.6%,140件
25,2500-2549,9116円,43分,128.4%,123件
26,2550-2599,9774円,42分,131.1%,130件
27,2600-2649,9451円,41分,130.8%,114件
28,2650-2699,10489円,37分,138%,120件
29,2700-2749,11370円,36分,142.6%,145件
30,2750-2799,11764円,33分,147.8%,124件
31,2800-2849,12707円,30分,156.8%,110件
32,2850-2899,14389円,27分,171.9%,107件
33,2900-2949,14556円,25分,178.1%,102件
