,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-1808円,154分,98.4%,2286件
1,350-399,-1906円,153分,98.3%,2984件
2,400-449,-1714円,152分,98.5%,2710件
3,450-499,-1276円,148分,98.9%,2491件
4,500-549,-1324円,148分,98.8%,2137件
5,550-599,-1217円,146分,98.9%,1948件
6,600-649,-1257円,145分,98.8%,1799件
7,650-699,-732円,140分,99.3%,1732件
8,700-749,-1046円,141分,99%,1538件
9,750-799,-520円,138分,99.5%,1513件
10,800-849,-60円,135分,99.9%,1385件
11,850-899,379円,132分,100.4%,1321件
12,900-949,-117円,130分,99.9%,2348件
13,950-999,45円,129分,100%,1355件
14,1000-1049,116円,125分,100.1%,1408件
15,1050-1099,573円,124分,100.6%,1223件
16,1100-1149,945円,122分,101%,1105件
17,1150-1199,945円,118分,101.1%,1078件
18,1200-1249,914円,117分,101%,1066件
19,1250-1299,586円,114分,100.7%,966件
20,1300-1349,1496円,111分,101.8%,980件
21,1350-1399,2291円,109分,102.8%,879件
22,1400-1449,1708円,107分,102.1%,893件
23,1450-1499,1936円,103分,102.5%,910件
24,1500-1549,2060円,100分,102.8%,885件
25,1550-1599,2289円,97分,103.2%,901件
26,1600-1649,3132円,93分,104.5%,859件
27,1650-1699,3287円,91分,104.8%,841件
28,1700-1749,3010円,90分,104.5%,730件
29,1750-1799,3523円,85分,105.5%,778件
30,1800-1849,3739円,85分,105.9%,729件
31,1850-1899,3511円,79分,105.9%,709件
32,1900-1949,3936円,77分,106.8%,684件
33,1950-1999,4151円,74分,107.5%,675件
34,2000-2049,4806円,69分,109.3%,674件
35,2050-2099,4668円,66分,109.4%,658件
36,2100-2149,4199円,62分,109.1%,663件
37,2150-2199,4873円,60分,110.9%,615件
38,2200-2249,5047円,57分,111.8%,623件
39,2250-2299,5621円,53分,114.2%,645件
40,2300-2349,5251円,50分,114%,548件
41,2350-2399,5247円,48分,114.7%,571件
42,2400-2449,6024円,46分,117.4%,546件
43,2450-2499,6591円,44分,120.1%,542件
44,2500-2549,7156円,43分,122.4%,493件
45,2550-2599,6832円,41分,122%,519件
46,2600-2649,7942円,39分,127.4%,452件
47,2650-2699,8625円,37分,131.2%,460件
48,2700-2749,9186円,34分,136.1%,439件
49,2750-2799,9828円,32分,140.4%,389件
50,2800-2849,11001円,29分,150.8%,304件
51,2850-2899,11881円,25分,163.4%,276件
52,2900-2949,12260円,22分,174%,201件
