,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,2485円,132分,102.5%,23件
1,1000-1049,2668円,127分,102.8%,32件
2,1050-1099,2137円,121分,102.4%,41件
3,1100-1149,3405円,127分,103.6%,33件
4,1150-1199,3365円,122分,103.7%,66件
5,1200-1249,4423円,109分,105.4%,59件
6,1250-1299,4058円,109分,104.9%,65件
7,1300-1349,2922円,108分,103.6%,67件
8,1350-1399,4204円,103分,105.4%,83件
9,1400-1449,5251円,102分,106.9%,75件
10,1450-1499,4072円,104分,105.2%,73件
11,1500-1549,3884円,96分,105.4%,83件
12,1550-1599,4052円,95分,105.7%,78件
13,1600-1649,4534円,96分,106.3%,86件
14,1650-1699,5219円,89分,107.8%,73件
15,1700-1749,3858円,85分,106.1%,90件
16,1750-1799,4645円,85分,107.2%,81件
17,1800-1849,5736円,79分,109.7%,84件
18,1850-1899,5518円,76分,109.7%,96件
19,1900-1949,6202円,76分,110.9%,97件
20,1950-1999,3953円,71分,107.4%,79件
21,2000-2049,6485円,68分,112.7%,106件
22,2050-2099,6512円,66分,113.2%,112件
23,2100-2149,4854円,61分,110.6%,87件
24,2150-2199,6335円,58分,114.6%,90件
25,2200-2249,5620円,57分,113.1%,80件
26,2250-2299,5163円,53分,113.1%,85件
27,2300-2349,6860円,51分,118.1%,65件
28,2350-2399,6012円,45分,117.7%,71件
29,2400-2449,4560円,49分,112.4%,63件
30,2450-2499,7058円,41分,122.9%,61件
31,2500-2549,9014円,34分,135%,43件
32,2550-2599,8216円,38分,128.7%,49件
33,2600-2649,7683円,37分,127.4%,41件
34,2650-2699,8492円,35分,132%,49件
35,2700-2749,9314円,34分,136.5%,61件
36,2750-2799,10701円,30分,147.2%,42件
37,2800-2849,11104円,27分,153.9%,33件
38,2850-2899,12568円,26分,164.5%,48件
39,2900-2949,13422円,23分,177.5%,44件
