,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,1184円,138分,101.1%,25件
1,700-749,2615円,122分,102.9%,39件
2,750-799,1289円,148分,101.2%,52件
3,800-849,4278円,132分,104.3%,50件
4,850-899,1573円,134分,101.6%,54件
5,900-949,2245円,135分,102.2%,61件
6,950-999,2366円,130分,102.4%,79件
7,1000-1049,2570円,126分,102.7%,82件
8,1050-1099,2192円,126分,102.3%,101件
9,1100-1149,3447円,127分,103.6%,116件
10,1150-1199,2934円,121分,103.2%,122件
11,1200-1249,3946円,111分,104.7%,130件
12,1250-1299,3987円,115分,104.6%,135件
13,1300-1349,4096円,107分,105.1%,127件
14,1350-1399,3551円,108分,104.4%,135件
15,1400-1449,2239円,106分,102.8%,154件
16,1450-1499,3134円,103分,104%,138件
17,1500-1549,3941円,99分,105.3%,173件
18,1550-1599,4036円,96分,105.6%,152件
19,1600-1649,4656円,96分,106.5%,166件
20,1650-1699,5291円,94分,107.5%,161件
21,1700-1749,4862円,89分,107.3%,139件
22,1750-1799,4003円,85分,106.2%,165件
23,1800-1849,4734円,80分,107.9%,173件
24,1850-1899,4380円,79分,107.4%,155件
25,1900-1949,5798円,76分,110.2%,147件
26,1950-1999,5109円,73分,109.3%,119件
27,2000-2049,3716円,72分,106.9%,123件
28,2050-2099,5703円,68分,111.1%,123件
29,2100-2149,5942円,66分,112.1%,109件
30,2150-2199,6124円,59分,113.9%,132件
31,2200-2249,6041円,56分,114.3%,104件
32,2250-2299,6722円,51分,117.7%,103件
33,2300-2349,6131円,51分,116.1%,111件
34,2350-2399,6886円,46分,119.9%,98件
35,2400-2449,7052円,45分,120.9%,82件
36,2450-2499,6973円,45分,120.8%,95件
37,2500-2549,7534円,43分,123.6%,94件
38,2550-2599,7203円,41分,123.2%,80件
39,2600-2649,8975円,38分,131.5%,75件
40,2650-2699,9151円,37分,133%,66件
41,2700-2749,10155円,33分,141.1%,68件
42,2750-2799,10835円,33分,143.6%,93件
43,2800-2849,11254円,29分,151.3%,76件
44,2850-2899,12697円,26分,164.5%,61件
45,2900-2949,13916円,23分,180.7%,60件
