,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1000-1049,5468円,130分,105.6%,1071件
1,1050-1099,5309円,125分,105.6%,963件
2,1100-1149,5363円,121分,105.9%,1149件
3,1150-1199,5673円,119分,106.3%,1095件
4,1200-1249,5662円,118分,106.4%,1041件
5,1250-1299,6565円,115分,107.6%,1057件
6,1300-1349,6790円,113分,108%,997件
7,1350-1399,6170円,111分,107.4%,1014件
8,1400-1449,6132円,107分,107.6%,924件
9,1450-1499,6244円,103分,108.1%,889件
10,1500-1549,6950円,102分,109.1%,858件
11,1550-1599,5982円,99分,108.1%,860件
12,1600-1649,6872円,96分,109.5%,833件
13,1650-1699,6591円,93分,109.4%,836件
14,1700-1749,6795円,90分,110.1%,778件
15,1750-1799,7439円,87分,111.4%,736件
16,1800-1849,7689円,86分,112%,772件
17,1850-1899,7450円,82分,112.2%,707件
18,1900-1949,7386円,79分,112.5%,714件
19,1950-1999,7643円,77分,113.3%,711件
20,2000-2049,7928円,73分,114.4%,724件
21,2050-2099,8308円,70分,115.9%,649件
22,2100-2149,7984円,64分,116.6%,664件
23,2150-2199,7659円,59分,117.2%,633件
24,2200-2249,7917円,54分,119.7%,609件
25,2250-2299,8265円,51分,121.6%,595件
26,2300-2349,8168円,48分,122.5%,573件
27,2350-2399,8303円,45分,124.4%,573件
28,2400-2449,8432円,44分,125.4%,578件
29,2450-2499,9101円,42分,129.1%,545件
30,2500-2549,9131円,41分,129.7%,521件
31,2550-2599,9320円,40分,130.7%,513件
32,2600-2649,9808円,39分,133.2%,464件
33,2650-2699,10679円,36分,139.1%,499件
34,2700-2749,10956円,35分,142.2%,462件
35,2750-2799,11507円,32分,148.6%,474件
36,2800-2849,12385円,30分,155.5%,432件
37,2850-2899,12075円,30分,153.3%,381件
