,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,593円,152分,100.5%,183件
1,500-549,931円,152分,100.8%,224件
2,550-599,1623円,142分,101.5%,295件
3,600-649,47円,146分,100%,332件
4,650-699,2222円,141分,102.1%,357件
5,700-749,2010円,141分,101.9%,404件
6,750-799,2188円,139分,102.1%,455件
7,800-849,1933円,138分,101.9%,487件
8,850-899,2337円,134分,102.3%,469件
9,900-949,2477円,131分,102.5%,523件
10,950-999,1813円,132分,101.8%,542件
11,1000-1049,1996円,128分,102.1%,596件
12,1050-1099,2967円,121分,103.3%,612件
13,1100-1149,2958円,126分,103.1%,603件
14,1150-1199,2892円,120分,103.2%,612件
15,1200-1249,3619円,115分,104.2%,583件
16,1250-1299,3112円,116分,103.6%,528件
17,1300-1349,3104円,113分,103.7%,554件
18,1350-1399,4001円,108分,104.9%,518件
19,1400-1449,3312円,107分,104.1%,480件
20,1450-1499,3598円,105分,104.6%,488件
21,1500-1549,3984円,103分,105.2%,486件
22,1550-1599,4700円,97分,106.4%,458件
23,1600-1649,4128円,95分,105.8%,460件
24,1650-1699,4582円,94分,106.5%,449件
25,1700-1749,4073円,89分,106.1%,391件
26,1750-1799,5028円,87分,107.7%,358件
27,1800-1849,4932円,84分,107.8%,379件
28,1850-1899,5742円,80分,109.6%,323件
29,1900-1949,4829円,77分,108.3%,307件
30,1950-1999,6535円,74分,111.8%,307件
31,2000-2049,4998円,71分,109.4%,298件
32,2050-2099,5321円,68分,110.4%,301件
33,2100-2149,5880円,63分,112.5%,289件
34,2150-2199,5980円,61分,113.1%,271件
35,2200-2249,5977円,58分,113.8%,270件
36,2250-2299,6429円,52分,116.4%,236件
37,2300-2349,5457円,53分,113.8%,245件
38,2350-2399,6554円,48分,118%,206件
39,2400-2449,6672円,47分,119.1%,237件
40,2450-2499,7854円,43分,124.4%,222件
41,2500-2549,7822円,42分,124.8%,216件
42,2550-2599,8216円,41分,126.5%,255件
43,2600-2649,8382円,40分,127.9%,214件
44,2650-2699,9223円,37分,133.4%,189件
45,2700-2749,10173円,35分,139.1%,190件
46,2750-2799,10720円,33分,143.1%,178件
47,2800-2849,11694円,30分,152.7%,175件
48,2850-2899,12436円,26分,163.4%,149件
49,2900-2949,13942円,24分,178.3%,137件
