,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-561円,148分,99.5%,1644件
1,450-499,-1182円,149分,98.9%,2079件
2,500-549,-895円,147分,99.2%,1887件
3,550-599,-443円,143分,99.6%,1736件
4,600-649,-140円,142分,99.9%,1525件
5,650-699,-449円,142分,99.6%,1344件
6,700-749,-291円,139分,99.7%,1288件
7,750-799,253円,134分,100.3%,1239件
8,800-849,-207円,137分,99.8%,1097件
9,850-899,567円,133分,100.6%,1078件
10,900-949,1077円,129分,101.1%,951件
11,950-999,1431円,127分,101.5%,929件
12,1000-1049,676円,125分,100.7%,1661件
13,1050-1099,561円,124分,100.6%,945件
14,1100-1149,1459円,119分,101.6%,1007件
15,1150-1199,1221円,118分,101.4%,846件
16,1200-1249,1719円,116分,102%,781件
17,1250-1299,1572円,113分,101.9%,747件
18,1300-1349,2169円,111分,102.6%,771件
19,1350-1399,1870円,108分,102.3%,670件
20,1400-1449,2538円,105分,103.2%,673件
21,1450-1499,3283円,102分,104.3%,620件
22,1500-1549,2568円,101分,103.4%,628件
23,1550-1599,3066円,97分,104.2%,670件
24,1600-1649,3079円,93分,104.4%,609件
25,1650-1699,3199円,91分,104.7%,614件
26,1700-1749,3907円,88分,105.9%,588件
27,1750-1799,4404円,86分,106.9%,564件
28,1800-1849,3877円,85分,106.1%,504件
29,1850-1899,4516円,79分,107.6%,551件
30,1900-1949,5179円,79分,108.8%,515件
31,1950-1999,4622円,72分,108.5%,505件
32,2000-2049,4835円,70分,109.2%,457件
33,2050-2099,4918円,66分,110%,463件
34,2100-2149,5721円,61分,112.5%,470件
35,2150-2199,5994円,58分,113.8%,460件
36,2200-2249,5156円,54分,112.7%,465件
37,2250-2299,5955円,52分,115.4%,439件
38,2300-2349,6091円,50分,116.4%,429件
39,2350-2399,6641円,45分,119.5%,444件
40,2400-2449,6298円,44分,119%,370件
41,2450-2499,6918円,42分,121.8%,429件
42,2500-2549,7392円,42分,123.4%,376件
43,2550-2599,8048円,39分,127.3%,379件
44,2600-2649,8356円,39分,128.5%,334件
45,2650-2699,8337円,36分,130.5%,367件
46,2700-2749,9162円,34分,135.5%,306件
47,2750-2799,10272円,31分,143.9%,325件
48,2800-2849,10974円,28分,152.4%,310件
49,2850-2899,11865円,26分,160.7%,278件
50,2900-2949,13017円,23分,175.1%,183件
