,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3384円,129分,103.5%,36件
1,950-999,1511円,120分,101.7%,43件
2,1000-1049,3153円,126分,103.3%,41件
3,1050-1099,2814円,113分,103.3%,53件
4,1100-1149,4863円,117分,105.5%,45件
5,1150-1199,2593円,120分,102.9%,64件
6,1200-1249,754円,112分,100.9%,57件
7,1250-1299,3113円,109分,103.8%,65件
8,1300-1349,4743円,104分,106.1%,82件
9,1350-1399,3736円,108分,104.6%,84件
10,1400-1449,4723円,104分,106%,86件
11,1450-1499,4603円,104分,105.9%,86件
12,1500-1549,3598円,99分,104.8%,95件
13,1550-1599,3206円,100分,104.3%,109件
14,1600-1649,4209円,93分,106.1%,95件
15,1650-1699,4301円,91分,106.3%,85件
16,1700-1749,4141円,93分,105.9%,100件
17,1750-1799,5900円,82分,109.6%,93件
18,1800-1849,5031円,85分,107.9%,99件
19,1850-1899,6648円,76分,111.6%,105件
20,1900-1949,3991円,77分,106.9%,88件
21,1950-1999,6836円,68分,113.4%,84件
22,2000-2049,7113円,72分,113.2%,99件
23,2050-2099,6174円,64分,112.8%,72件
24,2100-2149,5194円,64分,110.8%,77件
25,2150-2199,5859円,57分,113.6%,68件
26,2200-2249,8210円,51分,121.5%,84件
27,2250-2299,6184円,50分,116.6%,48件
28,2300-2349,7851円,45分,123.4%,61件
29,2350-2399,7820円,41分,125.5%,51件
30,2400-2449,7692円,42分,124.3%,50件
31,2450-2499,7687円,39分,126.2%,57件
32,2500-2549,8679円,39分,129.9%,60件
33,2550-2599,8347円,39分,128.3%,61件
34,2600-2649,8373円,40分,128%,46件
35,2650-2699,8621円,37分,131%,49件
36,2700-2749,9515円,34分,137.7%,52件
37,2750-2799,9976円,31分,142.9%,47件
38,2800-2849,10595円,28分,150.6%,33件
39,2850-2899,11365円,24分,163.9%,50件
40,2900-2949,13049円,24分,172.7%,38件
