,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2806円,160分,97.7%,3958件
1,200-249,-2836円,160分,97.6%,5030件
2,250-299,-2815円,159分,97.6%,4444件
3,300-349,-2347円,155分,98%,4200件
4,350-399,-2181円,154分,98.1%,3705件
5,400-449,-2112円,152分,98.1%,3363件
6,450-499,-1899円,151分,98.3%,3154件
7,500-549,-1542円,147分,98.6%,3037件
8,550-599,-1795円,147分,98.4%,2669件
9,600-649,-1390円,144分,98.7%,2600件
10,650-699,-801円,141分,99.2%,2447件
11,700-749,-552円,139分,99.5%,2316件
12,750-799,-752円,136分,99.3%,4201件
13,800-849,-623円,135分,99.4%,2416件
14,850-899,-694円,133分,99.3%,2444件
15,900-949,-415円,131分,99.6%,2042件
16,950-999,5円,128分,100%,1885件
17,1000-1049,70円,125分,100.1%,1837件
18,1050-1099,-200円,124分,99.8%,1777件
19,1100-1149,-17円,122分,100%,1672件
20,1150-1199,627円,118分,100.7%,1710件
21,1200-1249,1291円,116分,101.5%,1539件
22,1250-1299,743円,114分,100.9%,1573件
23,1300-1349,1378円,110分,101.7%,1592件
24,1350-1399,894円,109分,101.1%,1507件
25,1400-1449,1321円,106分,101.7%,1543件
26,1450-1499,2001円,103分,102.6%,1458件
27,1500-1549,2040円,100分,102.7%,1454件
28,1550-1599,2257円,98分,103.1%,1335件
29,1600-1649,2377円,94分,103.4%,1347件
30,1650-1699,2686円,93分,103.9%,1269件
31,1700-1749,2282円,90分,103.4%,1261件
32,1750-1799,2823円,86分,104.4%,1192件
33,1800-1849,3099円,83分,105%,1204件
34,1850-1899,3074円,80分,105.1%,1177件
35,1900-1949,3312円,76分,105.8%,1119件
36,1950-1999,3329円,72分,106.2%,1143件
37,2000-2049,3832円,70分,107.3%,1100件
38,2050-2099,3797円,67分,107.5%,1087件
39,2100-2149,4418円,64分,109.2%,1076件
40,2150-2199,4413円,61分,109.6%,988件
41,2200-2249,4285円,58分,109.9%,970件
42,2250-2299,4796円,55分,111.6%,960件
43,2300-2349,5279円,50分,114%,968件
44,2350-2399,5464円,48分,115.1%,885件
45,2400-2449,5648円,45分,116.6%,938件
46,2450-2499,6311円,44分,119.2%,844件
47,2500-2549,6721円,43分,120.8%,826件
48,2550-2599,7203円,41分,123.5%,786件
49,2600-2649,7776円,40分,126.2%,700件
50,2650-2699,8482円,37分,130.9%,584件
51,2700-2749,9154円,34分,135.7%,514件
52,2750-2799,9828円,31分,142.1%,397件
53,2800-2849,10872円,28分,151%,300件
54,2850-2899,11789円,25分,162.8%,266件
55,2900-2949,12857円,23分,175.9%,182件
