,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,229円,149分,100.2%,1644件
1,450-499,-394円,150分,99.7%,2079件
2,500-549,-118円,147分,99.9%,1887件
3,550-599,321円,144分,100.3%,1736件
4,600-649,621円,142分,100.6%,1525件
5,650-699,308円,142分,100.3%,1344件
6,700-749,452円,140分,100.4%,1288件
7,750-799,974円,135分,101%,1239件
8,800-849,526円,138分,100.5%,1097件
9,850-899,1290円,134分,101.3%,1078件
10,900-949,1780円,129分,101.8%,951件
11,950-999,2132円,127分,102.2%,929件
12,1000-1049,1358円,126分,101.4%,1661件
13,1050-1099,1225円,124分,101.3%,945件
14,1100-1149,2113円,120分,102.4%,1007件
15,1150-1199,1863円,119分,102.1%,846件
16,1200-1249,2359円,117分,102.7%,781件
17,1250-1299,2190円,113分,102.6%,747件
18,1300-1349,2782円,111分,103.3%,771件
19,1350-1399,2466円,109分,103%,670件
20,1400-1449,3125円,106分,103.9%,673件
21,1450-1499,3863円,103分,105%,620件
22,1500-1549,3132円,102分,104.1%,628件
23,1550-1599,3612円,98分,104.9%,670件
24,1600-1649,3605円,94分,105.1%,609件
25,1650-1699,3715円,92分,105.4%,614件
26,1700-1749,4414円,88分,106.7%,588件
27,1750-1799,4905円,86分,107.6%,564件
28,1800-1849,4361円,85分,106.8%,504件
29,1850-1899,4982円,80分,108.3%,551件
30,1900-1949,5652円,79分,109.5%,515件
31,1950-1999,5047円,73分,109.3%,505件
32,2000-2049,5249円,71分,109.9%,457件
33,2050-2099,5300円,66分,110.7%,463件
34,2100-2149,6089円,61分,113.2%,470件
35,2150-2199,6352円,58分,114.6%,460件
36,2200-2249,5476円,54分,113.4%,465件
37,2250-2299,6268円,52分,116.1%,439件
38,2300-2349,6394円,50分,117.1%,429件
39,2350-2399,6924円,46分,120.2%,444件
40,2400-2449,6579円,45分,119.7%,370件
41,2450-2499,7199円,43分,122.6%,429件
42,2500-2549,7597円,42分,123.9%,376件
43,2550-2599,8253円,39分,127.9%,379件
44,2600-2649,8561円,39分,129.1%,334件
45,2650-2699,8543円,37分,131.1%,367件
46,2700-2749,9368円,35分,136.1%,306件
47,2750-2799,10477円,31分,144.5%,325件
48,2800-2849,11180円,28分,153%,310件
49,2850-2899,12070円,26分,161.3%,278件
50,2900-2949,13222円,23分,175.7%,183件
